1851755
/m/06100_
/m/06100_
Homer Hickam
1998-09-15
{"/m/016chh": "Memoir"}
1 2
157 1
160 1
34 1
a 12
afraid 1
after 3
agency 2
airplane 1
alcohol 1
all 1
allusion 1
along 1
also 1
always 1
amateur 1
american 1
an 1
and 9
army 1
as 2
at 3
attempt 1
auk 5
ballistic 1
bcma 1
became 1
before 1
big 1
billy 1
binder 1
bird 1
black 1
body 1
bombs 1
book 2
bootlegger 1
boys 3
brother 1
build 1
by 3
called 6
campaign 1
canaveral 1
candy 1
cape 2
carroll 1
casement 1
casing 1
century 1
character 1
cherry 1
coal 1
coalwood 3
college 1
composed 1
consisted 1
cooke 1
creek 1
decides 1
destroying 1
different 1
during 1
dust 1
employed 1
engineers 1
enjoyed 1
enlisted 1
excelled 1
expected 1
exploded 1
extinct 1
fair 1
feet 1
fence 1
first 2
flash 1
flashlight 1
flew 1
flightless 1
football 2
for 3
forming 1
four 1
from 4
fuel 1
fueled 1
gave 1
get 2
gold 1
graduates 1
great 1
group 1
had 1
have 1
he 3
help 2
hickam 2
high 1
him 1
his 1
homer 2
honor 1
however 1
in 7
including 1
is 3
it 1
ixxxi 1
jim 1
jimmy 1
join 1
jr 1
launched 1
launching 2
lee 1
lived 1
local 1
made 1
main 1
medal 1
melted 1
mid1th 1
mines 1
mining 1
missile 2
mixed 1
mixture 2
mixtures 1
model 1
mother 2
movie 1
name 1
named 2
national 1
no 1
note 1
nozzle 1
numbered 1
october 1
odell 1
of 9
old 1
older 1
out 1
place 1
powder 2
powered 1
project 1
quentin 1
real 1
rocket 7
rocketry 2
rockets 4
rose 1
roy 1
russian 1
satellite 1
scholarship 1
school 2
science 1
sea 1
seeing 1
separated 1
sequentially 1
several 1
sherman 1
siers 1
six 1
skill 1
sky 1
small 1
solder 1
sonny 8
special 1
sports 1
sputnik 1
study 1
subsequently 1
success 1
sulfur 1
team 1
techniques 1
terrible 1
that 5
the 19
their 5
themselves 1
there 1
they 5
this 1
three 1
thus 1
titled 1
to 6
total 1
town 1
tube 1
violently 1
virginia 1
was 5
washer 1
were 2
west 1
when 1
which 3
while 1
wilson 1
with 1
won 1
work 1
would 2
xxiis 1
year 1
zinc 1
zincoshine 1
