6530888
/m/0g93r4
/m/0g93r4
Elizabeth Moon
1993-07
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/070yc": "Space opera", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction", "/m/01smf2": "Military science fiction"}
a 30
aboard 2
absence 2
accompany 1
acquiring 1
admiral 2
after 1
aftermath 1
agency 2
agree 1
all 5
allowing 1
already 1
also 1
ambushed 1
an 4
and 53
annoy 1
anomalies 1
answer 1
any 1
apologize 1
apparently 2
are 7
arrive 1
as 4
at 6
attempt 1
attempts 1
attend 1
authority 1
away 1
backed 1
badly 1
bandon 2
bandoo 1
be 4
because 2
become 1
been 4
before 3
begin 1
beginning 1
begins 4
begun 1
being 1
best 1
bet 1
betrayed 1
betraying 1
better 1
blackmail 1
blade 1
bloodthirsty 1
blunder 1
body 1
bomb 1
both 1
bridge 1
brun 4
but 3
by 11
cabal 2
calls 1
capital 1
captain 6
captured 1
capturing 1
carrying 1
cashiered 1
cave 1
ceased 1
cecelia 14
center 1
certain 1
chance 1
choice 1
circling 1
civilian 1
cloud 1
collapse 1
come 1
command 1
common 1
companions 1
competent 1
completed 1
complex 1
compounds 1
computergenerated 1
computerized 1
confined 1
confuse 1
considers 1
constructing 1
contraband 1
contracts 1
convenient 1
could 1
council 1
courtmartial 1
creek 1
crew 4
criminal 1
crosswise 1
crown 1
cylinders 2
danger 1
data 1
day 2
dead 2
deadly 1
deathtrap 1
decide 1
decides 1
deepspace 1
deficient 1
delay 1
delayed 1
deliberately 1
delight 4
denied 1
designated 1
detour 1
dexterous 1
die 1
dies 1
different 1
disappearing 1
discover 2
discovered 1
discovers 1
disgrace 1
disgusting 1
dismantled 1
dismay 1
disobeying 1
divided 1
do 3
does 2
down 6
drag 1
drill 2
drills 1
drinking 1
driven 1
drop 1
during 3
each 1
education 1
eerie 1
either 1
eliminate 1
emergency 2
employment 1
end 1
enjoying 1
enough 1
environmental 2
equestrianism 1
equipment 2
errors 1
escape 4
estateplanet 1
exile 1
expedition 1
experience 1
face 1
facilities 1
failing 1
fair 1
familias 2
family 1
fast 1
father 1
fear 1
fears 1
feckless 1
fell 1
female 1
fever 1
feverishly 1
field 1
final 1
find 1
finds 2
first 2
fixtures 1
fleet 1
flights 1
flitter 3
foisted 1
following 1
fondness 1
for 11
formed 1
former 3
fox 2
friends 2
from 1
ftl 1
gas 1
gear 1
george 11
gerel 1
get 3
gets 1
girls 1
goes 2
goods 1
grand 1
greeted 1
grenade 1
groups 1
grown 1
guards 3
had 11
has 3
have 6
he 10
head 1
her 16
heris 19
herself 1
him 5
his 12
hold 1
home 1
homemade 1
horse 1
hounds 1
hours 1
housing 1
humiliate 1
hunker 1
hunt 1
hunter 3
hunters 7
hunting 2
hushed 1
hydrogen 1
if 2
iklind 1
imminent 1
improve 1
in 17
incompetent 1
incurred 1
inefficient 1
inferior 1
injured 1
inner 1
insists 1
inspect 1
intending 1
intent 1
interference 1
into 3
intrudes 1
investigation 1
is 15
island 4
islands 2
it 5
jaunt 1
jig 1
job 1
join 1
jumps 1
just 1
kill 1
killed 1
killing 2
kills 2
lady 1
largely 1
lax 1
leads 1
learned 1
least 2
leave 1
left 1
legal 1
lepescu 9
letting 1
life 1
