28877539
/m/0ddcdtc
/m/0ddcdtc
Frederick Forsyth
2010
{"/m/01jfsb": "Thriller", "/m/05hgj": "Novel"}
2 1
a 7
about 1
access 1
actions 1
against 1
aimed 1
airplanes 1
all 1
also 1
and 7
angloamerican 1
appeared 1
asked 1
assassinated 1
at 1
avenger 2
be 1
been 1
before 1
blackburn 1
body 1
both 2
buccaneer 2
by 4
bystanders 1
cal 2
campaign 1
captured 2
carriers 1
cartel 1
cartels 1
character 1
cocaine 5
cocainecarrying 2
converted 1
crews 1
cuts 1
deal 1
decision 1
destination 1
destroy 3
detain 1
deveraux 5
dexter 4
diego 1
discovered 1
dissatisfied 1
don 1
down 1
drug 2
each 1
end 1
epilogue 1
esteban 1
eventually 1
fake 1
finds 1
for 2
force 1
forces 2
forsyth 1
from 1
gang 1
getting 1
grain 1
has 2
have 1
he 3
help 1
him 4
his 1
house 2
however 1
in 3
information 1
innocent 1
intelligence 1
intercept 1
international 3
is 3
island 1
it 3
its 1
joint 1
keeping 1
killed 1
lawyer 1
lead 1
leads 1
location 1
lord 1
main 1
major 1
messing 1
misinformation 1
not 1
novel 1
of 2
on 1
operating 1
operations 1
other 2
out 2
outofhand 1
paul 1
pilot 3
president 1
previously 1
promise 1
promising 1
provides 1
reaches 1
recruits 2
remote 1
set 1
ship 1
shipments 1
ships 1
shoot 1
shortages 1
shot 1
since 1
starts 1
stop 1
target 1
task 4
tasked 1
teams 1
tells 2
that 1
the 19
them 1
they 1
this 3
to 11
together 1
trade 1
turning 1
turns 1
uav 1
up 1
us 1
wars 1
when 1
white 2
who 1
with 6
