2276462
/m/07065_
/m/07065_
Enid Blyton
1939-05
{"/m/01hmnh": "Fantasy"}
adventures 1
also 1
an 1
and 6
angry 1
as 1
at 1
become 1
bessie 1
beth 1
characters 1
country 1
dame 1
doorstep 1
editions 3
enchanted 1
exciting 1
fairysaucepan 1
fanny 1
faraway 1
find 1
frannie 1
friends 1
have 1
home 1
ice 1
in 4
is 1
jo 1
joe 1
known 1
land 4
lands 1
later 3
lie 1
magic 1
magical 1
man 1
mister 1
moonface 1
move 1
new 1
of 4
on 1
pixie 1
right 1
roundabout 1
silky 1
snow 1
soon 1
spells 1
stands 1
strange 1
take 1
that 1
the 12
their 2
they 1
to 2
together 1
top 1
toyland 1
tree 2
visit 1
want 1
washalot 1
watsizname 1
what 1
which 2
wood 2
you 1
