11600783
/m/02rl4ly
/m/02rl4ly
John Webster

1610 1
50 1
60 1
a 33
about 1
accepts 1
accuses 1
act 1
actual 1
advance 1
affair 1
after 1
against 2
age 1
ahead 1
alive 2
all 2
alleged 1
allowance 1
allowed 1
almost 1
along 1
amassed 1
an 2
and 43
angiolella 2
another 4
appealing 1
appropriate 1
are 6
ariosto 4
aristocrat 1
arrange 1
arranged 1
arrested 1
arrive 1
arrives 1
arrogance 1
arrogant 2
as 3
assumed 1
at 2
attack 1
attention 1
averages 1
away 3
baby 1
bartered 1
based 1
bastard 3
be 1
bears 1
beauteuous 1
because 1
becomes 1
been 1
before 1
begins 1
bench 1
between 1
biggest 1
birth 1
bitterness 1
blackmailing 1
blends 1
blood 1
both 4
breaking 1
bride 1
brings 1
brother 2
brought 1
build 1
but 5
buy 1
by 10
can 4
capuchin 1
carracks 1
case 4
catch 1
caught 1
cause 1
challenges 2
character 1
characters 1
child 3
claim 2
claiming 1
claims 1
clare 1
class 1
clown 1
combat 1
comes 2
comic 1
coming 1
commands 1
conclusion 2
condemned 1
condemns 1
confronts 1
congeald 1
conscience 1
contacting 1
contarino 24
contempt 1
conversation 1
cooperation 1
counsel 2
court 1
courtroom 1
crispiano 3
critics 1
dead 3
debt 1
decayed 1
delivered 1
delivers 1
dependent 1
despaired 1
devastated 1
device 1
devil 1
directs 1
discovered 1
disguise 4
disgust 1
doctors 1
does 1
doses 1
down 1
ducats 2
duel 3
duellists 1
during 1
each 1
encouraging 1
ending 1
english 1
ercole 9
estates 1
everyone 1
existing 1
exploiting 1
exposed 2
express 1
expresses 2
false 1
falsehood 1
family 3
far 1
fatal 1
fatally 1
fate 1
father 1
feature 1
fight 2
figure 1
flattering 1
flaw 1
fleet 1
flow 1
foolish 1
for 7
forcing 1
fortitude 1
fortunate 1
fortune 2
fortunes 1
friar 4
friend 3
from 6
front 1
girl 1
glasses 1
go 2
goes 3
good 1
grounds 1
grows 1
had 3
hands 1
happy 1
has 11
have 1
having 2
he 11
heir 1
heiress 2
held 1
her 17
herself 1
him 8
himself 2
his 21
hopes 2
how 1
however 4
hundred 1
husband 2
if 1
impregnated 1
in 16
income 1
indebted 1
indies 1
infected 1
informed 1
informs 1
inheritances 1
insolent 1
instead 1
intended 1
intention 1
interested 1
intervention 1
into 2
introduces 1
is 31
it 1
italy 1
its 1
jew 1
jewish 1
jolenta 16
judge 4
julio 6
just 2
keep 3
killed 1
killing 1
last 1
law 4
lawyer 1
lawyers 1
learn 1
learns 1
legitimate 1
leonora 9
life 1
like 2
little 1
living 1
local 1
locks 1
long 1
loss 2
lost 2
loves 1
made 1
make 1
makes 1
man 3
mankind 1
marriage 3
marry 2
marrying 1
masquerading 1
mdash 4
medical 1
member 1
men 2
merchant 5
minor 1
mistress 1
mocks 1
monastery 1
month 1
moor 1
mortgage 1
most 1
mother 1
must 2
names 1
naples 2
needs 1
negating 1
neglects 2
never 1
news 2
no 3
noble 1
nobleman 1
not 3
now 1
number 1
nun 3
nunnery 1
obvious 2
occurred 1
occurs 1
of 39
off 3
on 3
one 1
only 1
opposite 1
order 1
orders 1
ottoman 1
over 2
overspending 1
pack 1
part 1
pass 1
past 1
patience 1
patient 1
penitence 1
perfunctory 1
play 2
plays 1
plot 4
plots 2
plotting 1
portrait 1
pray 1
preachiness 1
precontract 1
pregnant 4
present 1
preventing 1
problems 1
prominent 1
punish 1
pursuit 1
putrefaction 1
reached 1
reaches 1
really 1
reason 2
recourse 1
recover 1
recovered 1
recovery 1
rejoices 1
released 1
relief 1
religious 1
remains 2
renaissance 2
repair 1
report 1
requesting 1
resistant 1
resists 1
resolves 1
restore 1
retiring 1
reveal 2
revealing 1
reveals 3
rich 1
right 1
riotous 1
romelio 32
ruin 1
ruled 1
rulings 1
saint 1
scapegrace 1
scheme 1
sea 1
second 1
seconded 1
seduced 1
see 2
send 1
sense 1
senselessly 1
seriously 1
servant 1
set 1
sets 1
she 10
ships 1
shipwreck 1
showing 1
silence 1
sister 2
skeins 1
so 2
soliloquy 1
some 1
son 3
southern 1
spain 2
spanish 2
specific 1
spy 1
stabs 1
steps 1
stern 1
still 2
stilldisguised 1
story 1
structure 1
subplot 1
sudden 1
suggests 1
suit 1
supplied 1
supporter 1
supports 1
surgeons 6
surreptitiously 1
survival 1
suspicious 1
sympathetic 1
talks 1
tells 2
testament 1
testing 1
that 17
the 71
their 7
them 4
they 3
thinks 1
this 3
thousand 1
three 1
time 4
tired 1
title 1
to 35
too 1
toward 1
track 1
trading 1
tragicomedy 1
treat 1
trial 1
tries 2
trying 1
turks 2
twins 1
two 5
under 2
unfazed 1
unusual 1
up 2
upon 2
vainglory 1
various 1
venice 1
vents 1
ventures 1
vessel 1
via 1
wants 1
was 1
wasting 1
wastrel 1
watch 2
way 1
wealthy 1
websterian 2
when 2
which 2
while 2
who 9
will 4
winifred 3
wish 1
with 6
without 1
women 1
would 1
wound 2
wounded 2
wounds 1
young 2
