20078038
/m/04y6km6
/m/04y6km6
Eric Shanower

102 1
a 17
accepting 1
acquired 1
adaptation 1
after 1
age 1
aids 1
alive 1
all 1
allow 1
an 1
and 20
angry 1
antidote 2
at 2
aunt 1
balloon 1
baum 1
become 1
beets 1
before 1
begins 1
being 1
blissful 1
blue 1
book 1
both 1
bovine 1
broccoli 1
brought 1
brown 1
buried 1
but 4
butter 1
by 2
cabbage 1
called 1
can 3
cannot 1
cause 1
century 1
characters 1
chocolate 1
choice 1
city 5
climbing 1
comes 1
companion 1
companionship 1
content 1
control 1
country 2
couple 2
course 1
cow 4
cream 3
created 1
crisis 1
crosses 1
dairy 1
decided 1
demanding 1
depending 1
designed 1
die 1
do 1
doesnt 1
dorothy 10
during 1
easier 1
easy 1
eating 1
eightysome 1
em 1
emerald 5
encounters 1
end 2
endure 1
endures 1
enjoyed 1
enormous 1
excited 1
face 1
falls 1
farm 3
farmhouse 1
farming 1
feet 1
finds 1
first 1
flight 1
follow 1
for 2
friends 2
from 2
gale 1
garden 4
gardening 1
get 3
gets 1
giant 5
giantism 3
give 4
gives 2
golden 2
grows 1
had 1
happen 1
hard 1
have 2
he 1
heads 1
healing 1
help 1
hemmed 1
henry 1
her 9
herself 1
high 1
his 2
however 1
i 6
ice 1
im 3
imogene 7
in 8
inhabitants 1
into 2
is 5
isnt 1
it 1
its 1
kansas 2
labor 1
landscape 1
lead 1
learn 1
less 1
life 2
lost 1
luxury 1
magda 5
magical 1
make 1
mdash 2
meets 1
milk 5
moles 1
mood 1
more 1
mountainous 1
much 1
munchkin 2
mundane 1
mystery 1
named 1
nearcrashlanding 1
new 2
normal 2
not 2
novel 1
obtained 1
of 24
often 1
old 5
once 1
one 1
or 1
ordeal 1
order 1
originated 1
other 1
out 1
outside 1
overnight 1
oz 8
ozma 1
parents 1
past 1
pay 1
peppers 1
pest 1
places 1
plain 1
potion 1
prey 1
princess 1
principally 1
problem 2
produce 1
productive 1
products 1
real 1
recovered 1
reforms 1
regular 1
rescue 1
resolve 1
restore 1
restored 1
restores 1
retirement 1
return 1
revive 1
sad 1
saving 1
see 1
sets 1
shanower 1
she 4
sixth 1
size 2
skim 1
small 1
sour 1
stage 1
start 1
story 1
study 1
subterranean 1
sundry 1
supplies 1
surrogate 1
takes 1
tale 1
talks 1
task 1
temporally 1
than 1
that 2
the 47
their 2
then 1
they 6
thinking 1
thunderstorm 1
to 16
too 2
tour 1
trail 1
trio 1
twentieth 1
twenty 1
two 1
uncle 1
unless 1
unprecedented 1
unravel 1
up 1
upon 1
varying 1
vegetable 2
vegetables 1
visit 1
wall 1
want 1
wants 1
watermelons 1
when 5
where 1
which 1
whipped 1
whiteandpurple 1
who 2
witch 2
with 3
wizard 5
wonderful 1
world 1
wouldbe 1
years 1
yield 1
