11131253
/m/02r11vm
/m/02r11vm
Penelope Fitzgerald
1978
15 1
a 6
abandoned 1
about 1
after 1
also 1
an 2
and 2
any 1
around 1
arts 1
be 1
been 1
bill 1
bookshop 1
building 1
business 1
buy 1
by 1
centre 1
centres 1
chosen 1
contention 1
councils 1
damp 1
decides 1
empowered 1
eventually 1
evicted 1
fictional 1
five 1
florence 3
for 2
gamart 2
ghosts 1
green 3
grows 1
had 1
hardborough 1
has 1
historical 1
house 4
in 3
infested 1
influential 1
is 2
left 1
local 1
location 1
mainly 1
manages 1
many 1
member 1
middleaged 1
mrs 2
nephew 1
novel 1
of 2
old 3
open 1
parliament 1
pass 1
purchased 1
sacrifices 1
said 1
sales 1
set 2
slump 1
small 1
starts 1
suffolk 1
that 2
the 8
to 5
town 1
uninhabited 1
up 1
wanted 1
which 1
who 2
widow 1
with 2
year 1
years 1
