189018
/m/019w4d
/m/019w4d
Daniel Dennett
1984
120s 1
184 2
a 28
able 3
about 5
accept 1
acceptable 1
according 2
accountable 1
act 3
action 2
actions 3
active 1
actual 2
affairs 1
again 3
agents 1
all 7
alter 1
alternative 1
always 1
among 5
amounts 1
an 12
analysis 2
and 34
animal 1
animals 1
another 1
answer 6
any 2
anyhow 1
anything 1
appear 1
approach 1
are 16
argues 2
argument 2
around 1
as 21
ask 1
asks 2
aspects 1
at 6
attempt 1
attempts 1
avoid 3
avoidance 1
base 1
be 12
because 2
become 1
becomes 1
been 3
behave 3
behaving 1
behavior 12
behavioral 10
behaviors 10
being 3
beings 1
belief 1
best 1
better 2
between 3
biological 4
biologically 1
biology 1
birds 1
book 2
brain 3
brains 6
branch 1
break 3
but 2
by 12
can 17
carefully 1
caused 1
certain 1
chance 2
chaotic 1
chapter 1
choice 14
choices 5
choose 2
chooses 1
circumstance 1
claimed 1
classic 1
clearly 2
close 1
collapse 1
combined 1
come 1
complaints 1
complex 2
components 1
conceive 1
condition 2
connection 1
considerable 1
construct 3
context 1
contrast 1
control 6
controlling 2
convince 1
could 1
course 1
courses 1
creating 1
cross 1
day 1
deal 1
decisions 1
deeper 2
definition 3
dennett 23
describe 1
describes 1
designed 2
desirable 1
determined 3
determinism 5
developed 1
device 1
devices 1
did 2
difference 1
different 1
digger 1
disconnected 1
discusses 1
discussing 1
division 4
do 13
dodged 1
dodges 1
does 4
each 1
effective 1
effort 1
efforts 2
egg 1
elbow 4
else 1
emphasizes 1
endless 1
endlessly 1
endows 1
enduring 1
enforcing 1
enough 1
entities 1
environment 3
even 3
events 4
every 1
evolution 2
evolutionary 1
execute 2
executing 1
exists 1
expensive 1
experience 1
experiment 1
experimenter 1
experiments 1
explain 2
fact 3
failed 1
fatalism 2
fatalistic 1
favor 1
features 2
feel 4
feeling 2
figure 2
final 2
finally 1
find 1
finding 1
first 1
follow 1
follows 1
for 16
framed 1
free 27
freedom 1
freer 1
fret 1
from 6
futile 2
futility 2
future 4
general 2
generally 1
genetic 2
genetically 1
get 2
give 1
given 3
gives 2
go 1
going 1
good 4
grounds 1
had 1
hairsplitting 1
hand 3
happy 1
has 5
have 24
having 4
he 4
held 1
his 2
hisher 1
historical 1
hold 3
holding 1
how 6
human 1
humans 4
hypothetically 1
i 1
idea 4
if 12
illusion 2
important 1
improve 1
in 29
incompatible 1
indefinitely 1
indeterminacy 4
indeterministic 1
indignation 1
informed 1
insect 1
insectivorous 1
insects 1
instance 1
instead 1
interaction 1
internal 1
interpret 1
interpretation 1
interrupts 1
into 3
intuitions 1
investigates 1
invites 1
involves 1
is 33
issue 7
it 9
its 2
just 6
kind 1
know 2
knows 1
lack 1
last 1
laying 1
learn 1
left 1
level 1
libertarian 3
like 3
limit 1
living 1
long 1
longterm 1
look 1
loop 1
lose 1
machinery 1
major 1
make 5
makes 1
many 3
manyworlds 1
matters 1
may 2
mean 1
means 1
mechanical 5
mental 1
might 1
mindless 1
model 3
modern 2
moral 2
more 4
most 2
mother 2
much 2
multiple 1
multitude 1
must 1
nature 2
necessary 1
need 2
never 1
new 1
no 4
not 14
notice 2
occurs 1
of 63
off 3
on 8
one 8
ongoing 1
only 3
operational 1
option 1
options 1
or 5
order 1
other 3
our 21
out 4
outcomes 1
over 3
own 1
page 1
paradox 1
part 1
paths 1
pays 1
people 25
perfectly 1
performing 1
person 3
personal 1
perspective 2
philosophers 2
philosophical 1
philosophy 1
physical 1
physicists 3
physicsoriented 1
plan 1
planning 2
point 1
points 1
possibility 1
possible 8
power 4
predetermined 1
predict 1
preparing 1
previous 1
principles 1
prison 1
probabilistically 1
proceeds 1
process 1
processes 1
produce 2
program 2
programmed 1
proper 1
prove 1
provide 1
punish 2
punished 1
punishment 2
quantum 4
quantumlevel 1
question 8
random 1
rational 1
reach 1
real 1
reality 2
really 5
reconcile 1
relate 1
repeat 2
repeatedly 1
repeating 1
replayed 1
resolutions 1
resources 1
respond 2
responsibility 2
responsible 4
results 1
right 1
room 4
rule 1
rules 3
salient 1
salvage 1
same 5
satisfactorily 1
satisfied 2
say 2
says 1
scientists 1
second 1
see 1
seem 2
seeming 1
seen 1
select 2
selected 1
self 1
selfdestructive 1
sensation 3
sense 3
series 1
serve 1
set 1
several 2
should 2
significance 1
silly 1
simply 1
since 4
situation 2
slowly 1
smaller 1
so 7
socially 1
society 1
some 6
something 1
sometime 1
sometimes 1
somewhere 1
specific 2
sphex 1
stable 1
state 1
stated 1
statistically 1
step 1
steps 2
still 1
stop 1
strategy 1
strictly 1
stripped 1
strong 1
strongly 2
struggling 1
successful 1
such 2
suggesting 1
suggests 3
sum 1
survival 2
take 2
taken 1
task 1
tend 1
than 6
that 37
the 76
their 8
them 5
themselves 2
then 5
theory 1
there 7
these 2
they 9
thinking 1
thinks 1
this 22
those 3
though 1
threat 1
through 3
time 5
to 52
together 1
total 1
totally 2
trapped 1
treat 1
tried 3
tries 1
trying 2
two 1
type 4
types 1
unable 1
universe 5
universes 3
us 6
use 2
using 1
utilitarian 1
utility 1
utilizing 1
value 1
various 1
wasp 6
wasps 2
wasted 1
way 7
ways 1
we 36
well 3
what 10
when 4
which 2
while 2
who 4
whose 1
why 5
will 32
with 16
work 1
works 1
world 3
worse 2
would 3
wrote 1
yes 1
