27319308
/m/0bxzyyb
/m/0bxzyyb
Justin Richards


18 1
22 1
23 1
a 9
actual 1
air 1
alien 3
aliens 1
allowed 2
also 2
amy 4
an 1
and 13
apollo 1
apollos 1
appear 1
appeared 1
are 3
arrive 1
arriving 1
at 1
attempting 1
backup 3
backups 1
balloonlike 1
base 1
be 1
been 1
before 2
between 1
bodies 2
both 1
break 1
but 2
by 5
calisle 2
captured 1
caused 2
causing 2
centre 1
copy 1
decide 1
depressurization 1
destroy 1
diana 1
disappointment 1
discover 1
do 2
doctor 6
down 1
due 2
dying 1
earth 3
ends 1
erases 1
escape 1
established 1
everyone 2
evil 1
experiments 1
extremely 1
failure 1
find 1
finds 1
fire 1
first 1
force 1
fragile 1
fragility 1
giving 1
government 1
had 2
has 1
having 1
he 2
help 2
her 1
him 5
himself 2
his 3
human 2
in 2
instantaneous 1
into 1
invaders 1
invasion 2
investigating 1
is 1
it 1
jackson 5
kept 1
kills 2
later 1
leader 1
learn 1
link 1
lures 1
major 1
managed 1
manages 4
materialize 1
minds 2
moon 4
much 1
normal 1
of 5
officials 1
on 3
out 3
over 1
personality 1
place 1
plot 1
possessed 1
possessing 3
power 1
real 2
remain 1
restores 2
restoring 1
return 1
revealed 1
reveals 1
sabotage 2
sacrifices 1
same 1
secret 2
secretly 3
shooting 1
shopping 1
spaceman 2
start 1
stop 1
successfully 1
summon 1
suppression 1
survive 1
system 1
take 1
talerian 1
talerians 4
tea 1
that 5
the 27
their 2
them 1
there 1
they 5
thin 1
through 2
to 22
transfer 1
trap 1
trapped 1
travel 1
unpossesed 1
up 1
using 1
want 1
was 1
when 1
which 1
who 2
window 1
with 4
working 1
