9947572
/m/02pxtps
/m/02pxtps
Jack Gantos
2003
{"/m/05hgj": "Novel"}
a 17
about 3
adhd 1
admitted 1
advised 1
after 4
again 1
all 3
allowed 1
along 1
already 1
also 4
an 2
and 33
anger 1
announced 1
another 1
anymore 1
apologized 1
apple 1
around 1
arranged 1
as 5
asked 1
at 5
away 2
awry 1
back 2
be 10
because 2
before 3
behaved 1
being 1
believed 1
belong 1
best 1
better 2
bitten 1
blind 1
blindness 1
boarding 2
book 1
booth 2
boyfriend 1
branch 1
bratty 1
bring 1
broke 1
bugging 1
but 3
buying 1
by 4
came 2
can 1
care 2
carter 8
caught 1
chance 1
charge 1
chihuahua 1
chihuahuas 1
christian 1
clothes 1
coffin 1
coldly 1
come 1
common 1
concerned 1
concerning 1
confided 1
cope 1
correcting 1
could 2
crashing 1
cremated 1
dating 1
daughter 1
day 2
deal 2
deals 1
decided 1
decision 1
declared 1
dedicated 1
delighted 1
departed 1
departing 1
depressing 1
depression 1
did 1
die 1
died 1
disdainful 1
disliked 2
do 2
dog 3
dogs 2
doing 1
due 1
duprey 1
during 1
earlier 1
either 1
else 1
ended 1
enough 1
enraged 1
establishing 1
evening 1
everyone 1
evil 1
exactly 1
experienced 1
extra 1
family 2
father 2
favorite 2
felt 2
finally 2
finds 1
first 1
for 11
forbade 1
found 1
fran 1
frances 8
friend 2
friendlier 1
friends 2
from 1
front 1
funeral 2
get 1
gifts 1
given 1
go 1
goal 1
godspell 1
going 1
gone 2
good 2
grandma 1
grandmother 9
had 11
happened 1
happy 1
has 2
having 1
he 9
hearing 1
held 1
help 2
her 21
herself 1
him 9
himself 2
his 15
home 2
homeschooling 2
hopeless 1
horror 1
hospital 1
house 1
however 3
i 1
if 1
implied 1
in 16
instead 1
into 3
is 7
it 4
its 1
joe 1
joey 33
keep 2
kept 1
kids 1
kiss 1
knows 1
laid 1
lapp 4
lashed 1
last 1
late 1
later 5
learning 1
leave 1
leaving 1
life 3
like 4
lives 1
lot 1
main 1
maintained 1
make 3
many 1
maybe 1
meanwhile 1
meet 3
mentioned 1
miserable 1
more 2
mother 5
motorcycle 2
mrs 4
mrslapp 2
musical 1
neighborhood 1
new 1
next 1
nice 2
nicer 1
night 1
no 4
noisily 1
normally 1
not 3
novelty 1
now 1
occasionally 1
of 11
off 4
old 3
olivia 19
on 3
one 4
or 1
order 1
others 2
out 5
own 1
owner 1
owners 1
pablita 1
pablo 1
partner 1
party 1
past 1
people 1
performance 1
permission 1
persuaded 1
pet 1
photographer 1
pigza 1
place 1
plans 1
point 1
portayl 1
prefer 1
preferred 1
pregnant 1
previous 1
priority 1
problems 2
promised 1
prove 1
put 1
ran 3
religion 1
remaining 1
renamed 1
restraining 1
resulting 2
returning 1
revealed 1
riding 1
rightful 1
row 2
ruining 1
satan 1
savings 1
school 3
schooled 1
screaming 1
see 2
seeing 2
sending 1
sent 3
settings 1
she 14
should 1
show 6
snake 2
so 4
solving 1
some 2
sprinted 1
stabbed 1
starts 1
stated 2
stole 1
story 2
struck 1
study 1
sullen 1
take 2
talk 2
telling 1
thanksgiving 2
that 16
the 31
their 5
them 1
themselves 1
then 2
they 4
things 1
though 1
throughout 1
tickets 1
time 1
tiring 1
to 39
told 2
took 2
touch 1
town 2
tree 1
tries 1
try 1
two 2
unsure 1
up 6
used 1
very 1
view 2
violent 1
visit 1
visiting 1
wanted 1
was 15
watch 1
way 1
ways 1
went 2
what 1
when 1
where 3
which 3
while 1
who 3
whom 1
will 1
with 9
wooden 1
working 1
would 7
wrongs 1
