8366574
/m/0270xqs
/m/0270xqs
Maggie Gee

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/026ny": "Dystopia"}
21st 1
a 8
across 1
activist 1
africa 1
against 1
age 1
alive 1
an 2
and 8
apart 1
are 2
areas 1
as 5
at 2
attempts 1
away 2
bandits 1
becomes 1
becoming 1
begin 1
begins 1
being 1
book 1
both 1
boy 1
britain 2
broken 1
but 3
by 1
car 1
century 1
changes 1
channel 1
civilisation 1
climate 1
climes 1
comes 1
cool 1
country 1
couple 1
crash 1
decide 1
different 1
discover 1
dispose 1
down 1
drift 1
each 1
end 2
english 1
environment 1
europe 1
eventually 1
finally 1
first 1
fleeing 1
for 1
from 2
gain 1
goes 1
good 1
grip 1
group 2
has 2
have 1
having 1
he 4
him 5
his 7
home 1
however 1
ice 1
impact 1
in 5
initially 1
involved 1
is 5
it 1
joined 1
keep 1
kidnaps 1
kill 1
largely 1
later 1
law 1
leaves 1
let 1
life 1
living 2
lost 1
luke 4
man 1
marriage 2
men 1
mostly 1
new 1
objects 1
of 9
old 1
on 2
once 1
one 1
order 1
other 1
out 1
outlaws 3
outlived 1
particular 1
passage 1
plan 1
point 1
political 1
pulled 1
refuses 1
returns 1
run 1
running 1
runs 1
sarah 3
saul 6
see 1
separately 1
skills 1
son 2
spain 1
start 1
storyteller 1
surrounding 1
taken 1
tale 1
tell 1
that 1
the 16
their 2
them 2
then 2
they 1
time 1
tired 1
to 15
towards 2
transpires 1
tries 1
turn 1
usefulness 1
warmer 1
when 2
where 1
while 1
who 2
will 1
with 1
women 1
wreckage 1
