6149640
/m/0fsryz
/m/0fsryz
Jack Vance

10 1
100 1
101 1
110 1
111 2
a 31
about 1
accompanied 1
acknowledges 1
acquired 1
addels 1
admire 1
admits 1
admittedly 1
adventures 1
after 2
afternoon 1
agency 1
ago 1
ahead 1
alan 1
alice 9
all 4
allies 1
almost 1
alone 1
already 2
also 2
always 1
ambition 1
among 1
an 9
and 41
another 4
any 4
anyone 1
apparently 2
appearance 1
appointment 1
arch 1
archvillain 1
are 4
arrive 1
arrives 1
as 11
asks 1
aspects 1
assigned 1
at 6
attempt 2
attend 1
attention 1
attractive 1
away 1
back 1
band 1
banquet 2
be 7
bearing 1
become 2
been 8
before 3
begins 1
behind 2
below 1
bethune 1
between 1
bid 1
blackmailed 1
book 9
borrow 1
boyhood 1
brings 1
broaching 1
broken 1
brother 1
business 1
but 7
by 8
calls 1
can 2
cancels 1
cards 1
cash 1
casually 1
cemetery 1
chair 1
charnay 1
check 1
child 1
childhood 3
choosing 1
claim 1
claims 1
cleadhoe 3
cleadhoes 3
clearly 1
comes 1
commission 1
complete 1
conceals 1
concludes 2
confederate 1
confesses 1
confirms 1
confronts 1
considers 1
contact 1
contacts 1
contains 1
contest 5
contestant 1
control 1
conversation 2
convince 1
coordinating 1
corpses 1
correct 2
cosmopolis 4
could 1
covertly 1
crash 1
criminal 2
dead 1
declines 1
default 1
delivering 1
demon 2
depart 1
description 1
deserted 1
destination 1
details 1
detector 1
devises 2
dexad 3
died 2
difficult 1
dinner 1
discovers 1
dispatches 1
disrupt 1
do 2
does 1
door 1
doublecross 1
doubt 1
down 1
downfall 1
draws 1
dreams 2
drowned 1
due 1
during 1
each 1
ear 1
earlier 1
elder 1
embodiments 1
emperor 1
empire 1
employment 1
end 1
enemies 1
engineered 1
enough 1
entries 1
entry 1
eventually 1
examining 1
except 1
excuse 1
exercise 2
exist 1
expecting 1
exploits 1
extant 3
extensive 1
extract 1
face 1
facing 1
fact 1
failure 1
false 1
fantasies 1
fantasy 1
farewell 1
father 3
fellows 3
files 1
find 1
finds 3
first 2
flee 1
flesh 1
follow 1
fondly 1
for 10
formal 1
fraudulently 1
free 1
friend 3
from 8
further 1
gaean 1
garden 1
gersen 26
gesture 1
giving 1
go 1
good 1
gradually 1
grand 1
grandiose 1
grudgingly 1
guess 1
h 1
had 8
hardoah 2
hardoahs 1
has 10
have 6
having 1
he 29
head 1
heard 1
hence 1
henry 2
her 3
here 1
hermit 1
hid 1
hiding 1
highestranking 1
him 12
himself 7
his 21
hoped 1
hopeless 1
howard 8
however 1
humiliations 1
hurries 1
identification 1
identified 1
identifies 2
identify 2
identities 1
imagination 1
imaginative 2
immediately 2
immense 1
immir 2
immirtreesong 1
in 21
inaugural 1
includes 2
indoor 1
inept 1
infiltration 1
inflict 1
information 1
inside 1
institute 3
insufficient 1
intended 1
interest 1
interested 1
interstellar 1
interview 1
interviewing 1
interviews 1
interworld 1
into 3
invited 1
ipcc 2
is 15
issue 1
it 9
itself 1
jehan 1
journalist 1
jungle 1
just 1
key 1
killed 2
king 1
know 1
known 1
laboratory 1
language 1
large 1
last 4
late 4
launches 1
leader 2
leads 1
learns 3
leaves 2
leaving 1
ledesmus 2
left 2
leg 1
legs 1
less 1
lesser 1
lesson 1
letter 2
lie 1
likeness 1
live 1
livelier 1
locates 1
lord 1
loss 1
lucas 2
lure 2
made 1
magazine 4
make 1
man 2
manage 1
managed 1
many 1
marmel 2
marmelized 1
marmelizer 1
masquerades 1
material 1
maunish 2
meets 1
member 2
members 2
memoirs 1
men 1
menacing 1
mentions 2
more 1
most 1
motivation 1
mouderveldt 1
mourns 1
moved 1
murdered 1
murderer 1
