4019771
/m/02p7vb4
/m/02p7vb4
Sharon Penman
1985
{"/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
185 1
a 3
about 1
act 1
affair 2
all 1
an 1
and 10
animosity 1
as 3
at 1
avoid 1
be 2
becomes 1
between 3
birth 1
book 1
braose 1
but 1
by 3
captivity 1
children 1
comes 1
dafydd 1
daughter 1
davydd 1
de 1
deteriorates 1
determined 1
diplomatic 1
disagreements 1
discovered 1
disregarding 1
dragons 1
earlier 1
elen 1
end 1
england 3
english 1
equal 1
escapes 1
executed 1
execution 1
family 1
father 3
find 1
first 1
forgiveness 1
from 1
gives 1
growing 1
gruffydd 2
gwynedd 2
has 1
having 1
he 1
heir 1
her 6
here 1
his 2
hostage 2
household 1
husband 1
illegitimate 1
in 4
inheritance 1
intermediary 1
into 1
is 6
joanna 7
john 2
king 2
law 1
lead 1
legitimate 1
llewelyn 5
marred 1
marriage 1
marrying 1
medieval 1
met 1
monarchs 1
narrowly 1
negotiating 1
of 6
offers 1
outofwedlock 1
own 1
penman 1
placed 1
princes 1
receive 1
resentment 1
results 1
ruler 1
secluded 1
shares 1
she 1
should 1
situation 1
son 2
sons 1
story 1
taken 1
that 2
the 10
their 2
to 5
tool 1
trilogy 1
two 1
uses 1
wales 1
war 1
was 1
welsh 3
when 2
whom 1
will 1
william 2
with 1
