13692571
/m/03cf7wn
/m/03cf7wn


{"/m/01z4y": "Comedy"}
170 1
175 1
65 1
a 15
able 1
about 2
adopting 1
against 1
agent 1
air 2
airport 1
all 3
america 2
american 2
an 3
and 19
aptitude 1
are 1
aretha 2
arrived 1
as 2
asia 1
at 2
back 2
bad 1
ball 1
bangkok 1
basic 1
be 2
become 1
becomes 1
before 1
billiard 1
black 1
blessing 1
bombing 1
both 1
breaking 1
business 1
but 3
by 1
cabaret 1
cant 1
case 1
child 1
cia 2
circumstances 1
colloquial 1
come 1
comes 1
coming 1
commissary 1
communist 1
communists 1
confusion 1
contacts 1
content 1
cornered 1
court 1
crumble 1
dad 1
dead 1
decides 1
describes 1
direction 1
disasters 1
discover 1
discovered 1
down 3
drawing 1
during 1
each 1
earlier 1
effort 1
end 1
enemy 1
english 1
entangled 1
even 2
everyone 1
everything 1
exciting 1
experience 1
factory 2
final 1
finally 1
first 1
follows 1
fondness 1
for 6
forces 1
from 3
get 1
girl 1
give 1
go 2
good 1
got 1
grasp 1
guy 1
guys 1
hates 1
have 2
he 3
head 1
help 1
her 5
high 1
himself 1
his 6
home 2
in 13
indiana 1
is 4
it 3
job 2
journey 1
kidnapped 1
kidnappers 1
kids 1
know 1
lao 1
laoamerican 1
laoness 1
laos 5
later 1
life 1
little 1
lives 2
lying 1
made 1
makes 1
manages 1
maybe 1
minder 1
monk 1
months 2
more 1
movement 1
much 1
mysterious 1
mystery 1
narrator 1
network 2
new 1
nineties 1
nothing 1
now 1
of 13
off 1
on 1
one 1
orphans 1
other 1
out 3
over 3
pair 1
part 1
party 1
past 1
period 1
person 1
perspective 1
plans 1
play 1
pool 2
president 1
pretty 1
prince 1
profile 1
profitable 1
profiteers 1
pull 1
purpose 1
quiet 1
realize 1
reason 1
red 1
regain 1
region 1
retirement 1
return 1
roundly 1
run 1
saifon 10
seem 1
seemed 1
seems 1
semblance 1
set 1
settle 1
she 3
shocked 1
shot 1
shows 1
singer 1
smuggling 2
so 2
socialist 2
solve 1
some 2
somehow 1
souphanouvong 1
south 1
southeast 1
spoken 1
stand 1
states 1
stay 2
steer 1
still 1
story 2
suddenly 1
take 2
takes 1
task 1
thai 1
that 1
the 27
their 3
them 3
then 1
there 2
they 8
theyd 1
theyre 1
theyve 2
this 2
though 1
through 1
time 2
to 22
traces 1
traffickers 2
train 1
troops 1
trying 1
turn 1
turns 1
two 2
udon 1
under 1
understanding 1
undisclosed 1
unenviable 1
until 1
up 2
upside 1
usa 1
used 1
vietnam 1
waldo 10
war 2
was 1
werent 1
what 1
when 1
while 1
who 2
whorehouse 1
widower 1
wife 1
wishes 1
with 5
worked 1
works 1
written 1
