619662
/m/02xbsj
/m/02xbsj
Charles Dickens
1870
{"/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
186 1
6th 1
a 33
about 3
above 2
adjacent 1
after 3
afterward 1
afterwards 1
again 4
agree 1
agrees 1
all 3
allows 1
always 1
amicably 1
an 2
and 41
another 2
any 2
anyone 1
anytime 1
apart 1
apologize 1
apparently 1
are 3
area 1
arise 1
around 1
arranged 1
arranges 2
arrives 1
as 9
aside 2
ask 1
asks 4
assisting 1
at 11
attends 1
august 1
away 1
back 2
baffled 1
bazzard 1
be 13
before 2
beginning 1
begins 1
behind 1
below 1
bestowed 1
betrothal 4
betrothed 2
billickin 1
biographer 1
black 1
boarding 1
body 1
book 3
bottle 1
boy 2
break 2
bring 1
brother 1
brought 2
bud 1
but 8
buys 2
by 10
called 2
calls 3
can 1
canon 1
career 1
cathedral 4
cell 1
chain 2
chambers 2
chance 1
change 1
chapters 1
choirmaster 1
choke 1
christian 1
christmas 3
city 1
clerk 1
cloisterham 4
close 2
comings 1
commission 1
commitment 1
committed 1
common 1
communicable 1
company 1
condemned 1
confides 3
consciousness 1
consist 1
contact 2
corrosive 1
countryside 1
course 1
courtyard 2
crime 1
crisparkle 8
cruel 1
crypt 5
culprit 1
curious 1
danger 1
dare 1
datchery 4
dated 1
dawn 1
day 3
dead 1
dear 1
death 1
decide 1
deed 1
den 3
deputy 3
design 1
designed 1
destroy 1
dick 1
dickens 1
did 2
difficult 1
dine 1
dinner 1
directions 1
directly 1
disappearance 1
discovery 2
do 2
does 1
done 1
down 1
dreams 1
drood 5
drowning 1
durdles 5
during 2
dwelt 1
early 1
education 1
edwin 20
effects 1
either 2
elaborately 1
elicited 1
else 1
encounter 1
end 2
ended 1
engagement 1
eve 2
evening 1
expressed 1
fancy 2
fate 1
father 2
fear 3
fears 1
finally 1
finds 1
first 4
fists 1
follow 1
follows 3
for 17
forfeiture 1
forgive 1
former 1
forster 1
fortunate 1
frequently 1
friday 1
friend 2
from 10
garden 1
girl 1
give 1
given 2
gives 2
giving 1
go 3
goes 3
going 1
goings 1
gold 1
gone 1
goodnaturedly 1
great 1
grewgious 11
griefstricken 1
guardian 1
had 8
half 1
hard 1
has 3
hated 1
have 2
having 2
he 28
heard 1
heavy 1
helena 6
her 10
herself 1
hike 1
hiking 1
him 25
himself 8
his 26
home 2
hope 1
house 3
i 5
idea 3
identified 1
if 7
immediately 2
impending 1
impossibility 1
in 24
indignant 1
informs 1
inheritance 1
inquiry 1
intends 1
interest 3
interview 1
into 2
introduces 1
irrevocable 1
is 20
it 8
its 2
jail 1
jasper 23
jeweller 1
jewellery 1
john 2
journal 1
july 1
keeps 1
killed 1
knows 1
laid 2
landless 4
last 3
later 2
learns 1
learnt 1
leave 1
leaves 4
left 1
let 1
lets 1
letter 3
lightly 1
lime 1
little 1
live 3
lives 1
living 1
loathes 1
locality 1
lodging 1
london 7
look 1
lose 1
loses 1
love 1
man 3
many 1
marked 1
married 1
marry 2
may 1
me 1
means 1
meanwhile 4
meets 2
mentioned 1
middle 1
midnight 1
minor 1
misgivings 1
miss 1
missing 1
more 2
morning 5
mother 1
mound 1
moved 1
mr 24
mrs 1
much 1
murder 2
murdered 1
murderer 4
musicmaster 1
must 1
my 1
mysteriously 1
name 2
near 2
ned 3
needlessness 1
nephew 1
neville 16
new 3
news 2
next 8
night 2
no 1
none 1
not 9
nothing 1
novel 2
nuns 3
object 1
observes 1
occurred 1
of 42
off 1
offers 1
office 2
on 10
one 3
only 4
opium 4
opportunity 1
or 3
order 1
originality 1
other 1
others 1
out 3
outside 1
overtake 1
people 1
perished 1
persists 1
person 2
pieces 1
pillar 1
pin 2
place 1
planned 1
plans 1
pledged 1
pocket 1
points 1
position 1
potent 1
praise 1
presence 1
princess 1
prizes 1
produce 1
professes 1
prospect 1
provided 1
provides 1
proviso 1
provokes 1
puffer 1
purpose 1
quarrel 1
quicklime 1
rages 1
reacts 2
received 1
recollected 1
reconcile 1
reconciliation 1
rejects 1
remember 1
remembers 1
rent 1
rents 1
repair 1
replies 2
reputation 1
required 1
resisted 1
respectably 1
responsibility 1
rest 1
return 3
rev 7
review 1
ring 5
river 2
room 1
rosa 18
rumours 1
runs 1
saved 1
says 2
scarf 1
school 1
seeing 1
seeks 1
seen 1
seize 1
sent 1
separate 1
service 2
shakes 1
share 1
she 17
shirt 2
should 1
side 1
sign 1
silk 1
since 1
sing 1
sister 2
smitten 1
so 2
some 1
soon 1
speaking 1
spend 1
spoke 1
spread 1
spreads 1
spying 1
stepfather 1
stick 1
storm 1
story 6
stranger 1
strangle 1
strong 2
strongly 1
study 1
substantial 1
successful 1
summary 1
suspicion 1
taken 1
takes 2
taking 1
tale 3
tartar 6
telling 1
tells 2
temper 1
temptations 1
tempted 1
than 2
that 29
the 104
their 6
them 1
there 6
they 7
think 2
thinking 1
thinks 1
this 8
though 1
throat 1
thrown 1
till 1
time 3
to 57
together 2
told 3
towards 1
townspeople 1
trace 1
tracing 1
trail 1
transaction 1
tries 1
twin 1
twinkleton 1
uncle 1
unconscious 1
unknown 1
unmask 1
unstinted 1
upon 2
user 1
usual 1
utter 1
very 3
violent 1
violently 1
visit 2
visits 6
vows 1
walking 1
was 14
watch 3
watching 1
way 3
ways 1
waytwo 1
wears 1
weir 1
went 1
were 3
what 3
when 6
where 1
whether 1
which 8
while 2
who 11
wickedness 1
will 13
wind 1
wine 2
with 10
witnesses 1
woman 2
work 1
would 3
written 2
year 1
years 1
yearsat 1
you 2
young 1
