2822315
/m/084xj6
/m/084xj6
Harry Turtledove
2003-11-04
{"/m/0mz2": "Alternate history", "/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/026ny": "Dystopia"}
10yearold 1
a 17
able 1
about 1
accelerated 1
accusation 1
accusing 1
affair 1
affairs 1
afflicted 1
after 3
aftermath 1
against 2
ailing 1
alicia 2
all 4
also 2
although 1
always 1
among 1
and 13
angry 1
announcement 1
antisemitic 1
any 1
are 1
around 1
arrested 1
aryan 1
as 3
astonishes 1
baby 1
background 2
be 6
been 1
being 2
belong 1
berlin 2
between 1
bring 1
brings 1
buckliger 1
but 1
by 6
call 1
candidates 1
caught 1
caused 1
champions 1
change 1
checkup 1
children 1
classmates 1
close 1
closeted 1
come 1
comes 1
commissioner 1
committed 1
computer 2
conclusion 1
confesses 1
conservative 1
country 1
coup 3
coworker 1
crimes 1
current 1
curriculum 1
daughter 1
dead 1
death 1
deception 1
defeated 1
definitively 1
denounced 1
diagnosis 1
disease 2
doctor 1
doom 1
dorsch 1
dtat 2
effect 1
eightmonthold 1
elections 1
embittered 1
enough 1
entire 1
erika 4
esther 3
even 2
events 1
experiences 1
explains 1
extended 1
families 1
family 5
fhrer 4
finds 1
for 2
forced 2
former 1
free 1
friends 3
from 3
gauleiter 1
gimpel 1
gimpels 1
globocnick 1
globocnik 1
hack 1
haldweim 1
halt 1
happening 1
happens 1
has 2
he 3
head 1
heinrich 6
heinz 1
her 10
herself 1
hidden 1
hide 1
hiding 1
high 1
him 1
himself 2
his 6
history 1
however 1
husband 2
imprisoning 1
in 7
infidelity 1
information 1
installing 1
instigates 1
into 2
investigation 2
is 10
it 2
jew 2
jewish 2
jews 3
kills 1
klein 2
known 1
kurt 1
laws 1
leads 1
learned 1
leaves 1
led 1
lied 1
life 1
lifeordeath 1
like 1
lothar 2
lynched 1
maria 1
marital 1
meanwhile 1
members 1
might 1
movement 1
must 1
names 1
nazi 2
need 1
nephew 2
network 2
new 3
not 1
now 2
obliged 1
odilo 1
of 9
office 1
officer 1
old 1
only 1
opposition 1
oppressive 1
ostland 1
over 1
parents 1
parroted 1
party 1
past 1
paul 1
people 1
perspective 1
plain 1
policies 1
populace 1
populist 1
power 1
predecessors 1
prevalent 1
propaganda 1
prtzmann 5
question 1
racist 1
rallies 1
reactionary 1
realizes 1
really 1
receptionist 1
reform 1
reformminded 1
regard 1
reich 3
reichsfhrerss 3
relatively 1
relaxes 1
remnants 1
replaced 1
resists 1
retaliatory 1
reveal 1
revelation 1
richard 1
rolf 1
salts 1
saying 1
school 1
secret 2
she 4
sick 1
sight 1
sisters 1
society 1
soon 1
speech 1
spell 1
spreading 1
ss 3
stolle 2
strife 1
stutzman 3
subsequent 1
supports 1
survive 1
taken 1
taysachs 3
that 12
the 38
their 2
them 1
they 2
things 1
this 2
those 1
tide 1
time 1
to 13
torture 1
tradition 1
trusted 1
truth 1
turns 1
unaware 1
under 1
very 1
walther 3
wants 2
wehrmacht 2
when 1
which 3
while 1
who 3
wife 1
willi 2
with 8
within 1
without 1
wordofmouth 1
works 1
would 1
younger 1
