16216395
/m/03wd40t
/m/03wd40t
Nalo Hopkinson
1998
a 13
about 1
abusive 1
after 4
aid 1
all 1
allowing 1
an 4
ancestor 1
and 19
anymore 1
apothecary 1
area 1
around 1
arrive 1
arrives 1
as 1
asking 1
astral 1
attacks 1
attempt 1
baby 2
be 1
become 1
been 1
body 1
buff 1
business 1
but 3
by 5
calabash 2
calls 1
change 1
chaos 1
cities 1
city 3
cn 1
collapse 1
come 1
commands 1
commerce 1
commissioned 1
confront 1
consequence 1
core 1
criminal 1
cry 1
deaths 1
decides 1
declares 1
deems 1
defies 1
do 1
does 1
doesnt 1
done 1
donor 1
donorship 1
doorsteps 1
downtown 1
drug 1
dunston 2
duppy 3
economic 1
ends 1
erupted 1
etobicoke 1
event 2
eventually 1
every 1
fell 1
find 1
flee 1
for 6
forgiving 1
former 2
found 1
friends 1
from 2
funding 1
gets 1
goodbye 1
government 1
grandfather 1
grandmother 3
greater 1
grosjeanne 11
had 1
harvest 1
has 5
he 4
heart 7
help 4
her 12
herbal 1
heroine 1
him 7
human 2
husband 2
immoral 1
in 7
injected 1
instead 1
into 2
investors 1
is 11
isolated 1
it 4
jenny 1
kicked 1
kill 4
killed 1
killing 1
lake 1
later 1
law 1
left 2
lets 1
lover 3
make 1
mastermind 1
meanwhile 2
medicine 1
metropolitan 1
mijeanne 1
mind 1
mom 1
mother 1
mudhole 1
murder 1
name 1
named 2
needs 1
new 3
night 1
nine 1
normally 1
north 1
novel 1
now 1
occurred 1
of 12
on 5
ontario 2
or 1
organ 1
other 1
out 3
over 1
owners 1
paralysis 1
paralyzes 1
penance 1
people 1
place 1
police 1
porcine 1
possessed 1
prefers 1
premier 3
primier 1
program 2
protection 1
refusing 1
return 1
revealed 2
riots 3
roadblocks 1
rudy 9
rule 1
ruled 1
runs 1
satellite 1
saw 1
say 1
scarborough 1
sent 1
sets 1
she 6
sheldon 1
shell 1
shop 1
since 2
sitting 1
slips 1
small 1
so 1
someone 1
spirit 5
spirits 1
spiritualist 1
state 3
steps 1
story 2
suburbs 1
summons 1
surgery 1
surprised 1
surrounding 1
take 1
takes 2
tells 1
that 5
the 29
their 1
they 1
thinking 1
tijeanne 11
to 15
tony 5
toronto 5
tower 1
transplant 1
trapped 1
trouble 1
turns 1
twelve 1
up 1
upon 1
used 1
uttley 3
vengeful 1
visions 1
wakes 1
wants 1
was 2
weight 1
wellrespected 1
what 1
when 1
which 1
while 1
who 6
whom 1
will 1
with 4
works 1
years 1
york 1
