6137851
/m/0fs3j5
/m/0fs3j5
Dave Pelzer


170s 1
173 1
18 1
a 11
abuse 2
abused 2
accepted 1
account 1
across 1
admits 1
after 1
age 1
all 2
alone 1
along 1
an 2
and 15
approached 1
are 2
as 7
at 4
be 2
beat 1
beaver 1
became 1
been 2
belonging 1
best 1
better 1
biographical 1
brazell 1
bullying 1
but 1
by 2
ca 1
california 2
car 1
care 1
career 1
case 1
changed 1
child 2
childhood 1
children 2
choices 1
complacent 1
country 1
course 1
crossing 1
currently 1
cut 1
dan 1
dares 1
dave 2
david 1
deemed 1
delivered 1
despite 1
determined 1
difference 1
do 1
doing 1
dreaded 1
dreaming 1
dropping 1
duinsmoore 1
effort 1
enough 1
events 1
everything 1
exhausting 1
families 1
family 1
finish 1
fit 1
for 5
fortunate 1
foster 4
fraught 1
freedom 1
friends 1
friendship 1
from 3
gained 1
give 1
go 1
got 1
grave 1
groups 1
had 2
hands 1
hard 1
has 2
have 3
he 14
here 1
him 2
himself 1
his 14
hollywood 1
home 1
homes 1
hope 1
in 13
injury 1
inspiring 1
into 1
is 1
it 5
jobs 1
kids 1
known 1
leave 1
let 1
life 5
living 2
loose 1
made 2
make 2
man 1
marsh 1
men 1
menial 1
menlo 1
message 3
mike 1
millions 1
money 1
mother 1
must 1
nation 1
neglect 1
neglected 1
neighborhood 2
neighborhoods 1
never 1
newfound 1
numerous 1
of 18
often 1
on 2
or 2
out 1
own 1
pace 1
parents 1
park 1
paul 1
pelzer 6
placed 1
poor 1
positive 1
preached 1
public 1
put 2
record 1
recounts 1
refused 1
rescued 1
risk 1
role 1
rotten 1
sacrificing 1
salesman 1
save 1
school 5
sense 2
short 1
something 1
speaker 1
spokesman 1
spread 1
starvation 1
stay 1
still 2
story 1
struggled 1
stuntman 1
stunts 1
stupid 1
subjected 1
succeed 1
taking 1
teen 2
tells 1
that 5
the 15
their 1
they 2
think 1
third 1
this 1
thousands 1
through 1
time 3
to 18
torment 1
torture 1
traumatic 1
triumph 1
two 1
up 1
value 1
very 1
was 7
way 1
weeks 1
what 1
when 1
whether 1
who 2
with 2
work 2
working 2
world 2
worst 1
would 1
years 2
you 2
your 1
