562243
/m/02q86n
/m/02q86n
Robert Jordan
1994-10-15
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 3
absence 1
aes 9
after 3
aid 1
allegiance 2
almeara 1
along 1
altara 1
althor 1
alvere 1
amadicia 1
amnesty 1
amyrlin 1
an 2
and 8
andor 1
are 1
as 2
ashaman 1
at 2
aybara 1
back 1
battle 2
been 1
begin 1
black 1
book 1
borderlands 1
both 1
break 1
by 4
caemlyn 2
cairhien 1
can 1
captain 1
captive 1
captives 1
cauthon 1
channel 1
children 1
climactic 1
climate 1
commander 1
constantly 1
control 1
courted 1
cowed 1
dar 1
dark 1
declaration 1
deposed 1
destruction 1
diplomatically 1
discovers 1
dragon 3
dumai 1
ebou 1
effects 1
egwene 1
elaida 1
elayne 2
emond 1
end 1
envoy 2
false 1
fealty 1
feels 1
few 1
field 1
followers 1
for 2
force 1
forced 1
goes 2
good 1
had 1
has 3
heads 1
him 2
his 3
however 1
in 8
is 4
join 1
joins 1
journeying 1
kidnapped 2
kidnapping 1
lead 1
leading 1
leads 1
learning 1
light 1
longlasting 1
lord 1
making 1
mat 3
mazrim 2
men 1
mixed 1
morgase 1
named 1
newlyestablished 1
niall 1
number 1
nynaeve 1
of 13
on 1
one 1
pedron 1
perrin 3
previous 2
psyche 1
pull 1
queen 1
rand 9
rebel 4
reborn 2
remain 1
response 1
retrieve 1
return 1
returning 1
salidar 2
search 1
seat 1
secretly 1
sedai 9
seek 1
send 2
sends 2
series 1
severely 1
she 2
shortly 1
socalled 1
surviving 1
swear 1
swears 1
taim 2
taken 1
tar 1
taveren 2
terangreal 1
that 1
the 32
them 1
thinking 1
throne 1
to 18
tortured 1
tower 3
train 1
trakand 2
up 1
upon 1
valon 1
way 1
wells 1
when 1
which 2
while 1
white 2
who 6
win 1
with 3
wrongly 1
wrought 1
