3380230
/m/098l75
/m/098l75
Marc Platt

{"/m/014dfn": "Speculative fiction"}
44 1
673 1
a 2
accidentally 1
accused 1
ace 1
agency 1
allies 1
and 2
are 2
as 1
become 1
been 1
but 2
cast 1
catching 1
celestial 1
chris 1
coming 1
companions 1
cousins 1
cwej 1
doctor 4
dreams 1
embroiled 1
family 1
figure 1
finds 1
for 1
form 1
former 1
from 1
gallifrey 1
gallifreyan 1
have 2
having 1
head 1
him 1
his 3
history 1
house 2
in 3
intervention 1
is 2
k 1
known 1
leela 1
left 1
linking 1
lungbarrow 1
many 1
meanwhile 1
mind 1
murder 1
mysteriously 1
occupied 1
of 9
only 2
other 1
out 1
over 1
overthrow 1
particular 1
past 2
plot 1
presidency 1
regeneration 1
returns 1
romana 2
secret 1
secrets 1
six 1
still 1
strange 1
tardis 1
the 16
them 1
thoughts 1
to 4
trapped 1
up 1
when 1
where 1
who 1
with 1
years 1
