5636107
/m/0dxhhr
/m/0dxhhr
Barbara Sleigh
1955
{"/m/0dwly": "Children's literature"}
a 6
abducted 1
ambivalent 1
an 1
and 2
at 1
be 1
best 1
broom 1
buys 1
by 1
cannot 1
cantrip 3
carbonel 1
career 1
cast 1
cat 3
cats 1
concerns 1
down 1
encountered 1
enslavement 1
ever 1
for 1
friend 1
from 1
girl 1
happens 1
has 1
have 1
he 1
help 1
her 3
him 2
his 2
in 1
is 1
john 1
just 1
king 1
learn 1
learns 1
little 1
marketplace 1
missing 1
moreover 1
mrs 3
named 1
new 1
of 1
on 1
plot 1
presumed 1
return 1
rosemary 2
selling 1
she 2
since 1
so 1
spell 1
start 1
starts 1
subjects 1
talking 1
that 1
the 7
throne 1
to 6
together 1
track 1
undone 1
unfortunately 1
untidy 1
until 1
up 1
when 1
who 1
witch 2
witchcraft 1
with 1
woman 1
