437102
/m/028flk
/m/028flk
Pai Hsien-yung

160s 1
173 1
a 4
adaptation 1
and 2
aqing 3
area 1
at 1
because 1
begins 1
called 2
characters 1
classmate 1
cruising 1
expelled 1
family 1
father 1
film 1
follows 1
for 1
from 1
gay 2
hang 1
hangout 1
he 1
him 1
his 2
home 1
in 5
is 1
kicks 1
life 1
liqing 1
man 1
meets 1
men 1
most 1
new 1
nicknamed 1
novel 1
of 3
or 1
other 1
out 2
park 2
period 1
place 1
primary 1
recent 1
relations 1
scandalous 1
school 1
short 1
story 1
taipei 1
takes 1
the 6
to 1
when 1
where 1
with 1
ying 1
young 1
zhao 1
