7832034
/m/026fm9k
/m/026fm9k
André Franquin
1960

a 4
american 1
and 4
armed 1
army 1
arrive 1
as 1
been 1
being 1
buddha 2
by 1
captive 1
champignac 1
changes 1
chinese 1
coinventor 1
count 1
device 1
fantasio 1
fate 1
fearing 1
find 1
gag 1
giant 1
great 1
harold 1
has 1
held 1
heroes 1
hiding 1
his 2
in 5
inovskyev 1
invention 1
is 2
kidnapped 1
line 1
longplaying 2
mansion 1
named 1
new 1
nicolas 1
of 5
one 1
out 1
park 1
partner 1
powerful 1
prisoner 2
rescue 1
revolutionary 1
russian 1
same 1
save 1
scientist 1
series 1
set 1
spirou 1
statues 1
technology 1
the 12
to 2
up 1
valley 1
w 1
want 1
which 1
who 1
with 1
world 1
