20971600
/m/05b2zvx
/m/05b2zvx
L. Frank Baum

{"/m/03mfnf": "Young adult literature"}
250 1
500 1
a 5
accurately 1
accused 1
adirondacks 1
after 2
against 1
all 1
also 1
among 1
an 1
and 15
another 1
antifemale 1
around 1
articles 1
as 1
at 2
attractive 1
aunt 4
back 1
become 1
been 1
begins 1
being 1
beth 4
book 3
books 1
breakdown 1
businessmen 1
but 4
buying 1
by 1
called 1
campaigns 1
candidate 1
cannot 1
carries 1
cash 1
circle 1
concentrates 1
continuing 1
could 1
cousin 1
cousins 3
coverage 1
create 1
cynical 1
days 1
de 1
decide 1
democrat 1
disappeared 1
district 3
doyle 1
easily 1
effective 1
election 1
elmhurst 1
emotional 1
end 2
erastus 1
estate 2
even 1
falsely 1
family 1
farmers 1
fee 1
fights 1
find 1
first 1
for 2
forbes 3
forward 1
freckled 1
from 2
get 1
girl 2
girls 1
gives 1
go 2
going 1
graf 1
has 1
have 2
he 3
help 3
her 2
him 1
his 3
hopkins 1
how 1
human 1
husbands 1
if 1
in 11
inherited 1
intemperately 1
interest 1
involved 1
is 7
it 1
jane 4
john 4
kenneth 8
lacking 1
learn 1
legislature 1
letters 1
line 1
local 5
located 1
lose 1
louise 3
lucy 1
main 1
man 1
mdash 2
mental 1
mercenary 1
merrick 2
millville 1
misleading 1
more 1
most 1
motorcars 1
multimillionaire 1
named 1
new 1
newspaper 1
nieces 4
normally 1
novel 1
of 8
on 1
opponent 2
out 1
paper 1
patsy 3
plot 1
politics 4
positive 1
possesses 1
press 1
previous 1
provoked 1
psychological 1
rare 1
received 1
redhaired 1
releases 1
republican 2
rogers 1
running 1
rural 1
seat 1
sensation 1
sentimentality 1
series 3
she 2
significant 1
somewhat 2
sports 1
spreads 1
state 1
still 1
story 2
subplot 2
suffered 1
summer 1
sunburn 1
takes 1
tell 1
tells 1
that 3
the 40
theft 1
their 4
they 1
thinks 1
three 4
title 2
to 7
two 1
typical 1
uncle 4
unlike 1
vigorously 1
visiting 1
vote 2
warmth 1
when 1
where 1
which 1
who 1
will 1
win 1
wins 2
with 1
wives 1
women 1
work 2
works 1
writes 1
yields 1
york 1
young 1
