9277724
/m/0282rsh
/m/0282rsh
Kate DiCamillo
2006
27 1
a 11
abilene 1
against 1
an 2
and 10
as 1
be 1
being 1
book 1
bought 1
broken 1
brother 1
buddy 1
but 3
by 3
can 1
characters 1
china 1
counter 1
cruelly 1
daughter 1
days 1
depths 1
dog 1
doll 1
dresses 1
edge 1
edward 5
enjoys 1
even 1
eventually 1
falling 1
far 1
farther 1
finally 1
finds 1
fisherman 1
for 2
forced 1
free 1
from 4
girl 2
given 1
grandmother 1
hand 2
have 1
he 4
her 3
him 5
his 4
hobo 1
home 2
if 1
in 2
incident 1
intention 1
is 6
journey 1
journeys 1
knew 1
life 1
lifealtering 1
liner 1
love 1
loved 1
loving 1
man 1
mature 1
mistress 2
more 1
named 1
no 1
not 1
now 1
ocean 2
of 4
offered 1
older 1
on 1
once 2
only 1
or 1
overboard 1
own 1
passed 1
passing 1
pleasant 1
pnbsp1 1
pneumonia 1
pointless 1
pulls 1
quote 1
rabbit 2
renamed 1
repaired 1
respect 1
sale 1
same 1
selfish 1
several 1
spends 1
store 1
succession 1
such 1
summarized 1
take 1
takes 1
tenyearold 1
the 8
theme 1
then 2
to 4
top 1
treats 1
tulane 1
unfortunate 1
until 2
utmost 1
vacationing 1
vain 1
was 1
wear 1
where 1
while 1
who 1
whole 1
wife 1
with 4
years 1
you 1
young 1
