55721
/m/0fgs1
/m/0fgs1
William Shakespeare

a 16
accompanied 2
admits 1
after 2
against 4
albany 15
alive 1
all 2
already 1
also 1
alternately 1
among 1
an 3
and 56
anger 1
announces 1
anything 1
anyway 1
appears 2
are 1
armies 1
arms 1
army 3
arrested 1
arrives 2
as 6
asking 1
at 2
attack 1
attacks 1
attracted 1
attractive 1
babbles 1
banishes 1
battle 1
be 2
become 1
bedlam 1
been 3
begs 1
behave 1
best 1
betrayed 1
betrays 1
better 1
between 2
blinded 1
bluntly 1
both 3
britain 1
british 3
brother 1
burgundy 2
but 9
by 12
caius 1
calls 1
captured 1
carries 1
challenges 1
changes 1
character 1
charge 1
cliff 2
clothes 1
combat 1
commit 1
commits 1
compare 1
completely 3
confronts 1
conscience 1
considers 1
cordelia 11
cornwall 5
corpse 1
corrupt 1
country 1
cowardly 1
daughter 1
daughters 4
death 2
deaths 1
decides 2
declarations 1
declares 1
declines 1
defeat 1
defies 1
denounces 2
departs 1
developed 1
die 2
died 1
dies 2
dilemma 1
discovers 2
disguise 1
disgusted 1
disinherited 1
disinherits 2
dispose 1
divide 1
divides 1
does 1
doing 1
dover 1
duel 1
duke 2
dukes 1
dying 1
earlier 1
echoes 1
edgar 18
edmund 18
either 1
elderly 1
embarrassed 1
enraged 3
escaped 1
escorted 1
estate 1
evil 1
execution 1
exile 1
exposes 1
express 1
eyes 1
fact 1
fake 1
fakes 1
fall 2
falls 1
fatally 1
father 4
feels 1
fight 1
final 1
finally 2
finds 2
flees 1
folio 1
follies 1
follows 1
food 1
fool 2
foolish 1
for 8
forces 1
forged 1
france 3
french 5
from 6
fulsome 1
further 1
gives 1
gloucester 17
going 1
goneril 17
gouges 1
great 2
guise 2
halfmad 1
harm 1
has 10
have 2
he 24
heath 3
help 1
her 9
him 22
himself 4
hires 1
his 25
home 2
honest 1
honestly 1
honesty 1
however 2
hundred 1
husband 2
husbands 1
if 1
ill 1
illegitimate 1
immediately 2
implication 1
implications 1
impotent 1
impressed 1
in 18
inadvertently 1
infuriates 1
insists 1
intended 1
intends 1
into 2
intrigues 1
invaders 1
is 26
it 4
joy 1
jump 1
kent 11
kill 3
killed 3
kills 1
king 5
kingdom 1
knights 1
landed 1
largest 1
late 1
later 1
lead 2
leaders 1
leads 3
lear 32
learning 2
legitimate 1
letter 5
letters 1
like 1
line 1
live 1
long 1
longer 1
love 4
loves 1
lust 1
mad 1
made 1
madly 1
madman 2
madness 1
making 1
man 1
manner 1
marriage 1
marries 1
marry 2
may 1
meet 4
meets 4
miraculously 1
misfortune 1
mistreatment 1
mocking 1
mocks 1
more 2
mortally 1
murderer 1
mutilation 1
name 1
named 1
no 1
nor 1
not 4
nothing 1
now 5
o 1
objects 2
of 18
off 2
offers 2
offstage 3
old 1
older 1
on 2
one 2
or 3
orders 2
oswald 5
out 5
outlaw 1
over 1
overcome 1
overwhelmed 1
own 2
passes 1
plans 2
pleases 1
plots 2
pocket 1
poison 1
power 3
pretends 1
privately 1
proclaim 1
proclaims 2
promises 1
properly 1
proposed 1
protect 1
protests 2
put 1
quarrels 1
quarto 1
rage 3
rant 1
rants 1
realm 1
recognising 1
recognizes 1
reduces 1
regan 15
regard 1
regards 1
reports 1
resents 1
reserves 1
respectively 1
respects 1
resume 1
retinue 2
retire 1
returns 1
revealed 1
revealing 1
reveals 1
runs 1
rushes 1
same 2
save 1
secret 1
sees 1
sends 2
servant 3
shame 1
share 2
she 9
shelter 1
shock 1
shows 1
sisters 3
slipped 1
slowly 1
so 2
speak 1
speaks 1
speech 1
stated 1
status 1
stocks 1
storm 2
suicide 2
suit 1
summons 1
supported 1
survived 2
take 1
taken 1
takes 1
telling 1
tells 3
terms 1
terribly 1
than 2
that 15
the 48
their 4
them 3
then 2
there 1
they 3
think 1
this 2
though 2
three 1
throne 1
through 1
thwarted 1
to 43
tom 2
too 3
traitor 1
treatment 2
trial 1
trials 1
tricks 1
tries 1
try 1
turns 1
two 2
unclear 1
under 1
unfair 1
ungrateful 1
urges 1
usurp 1
version 2
victorious 1
view 1
voice 1
wander 1
wandering 1
wants 1
warrant 1
was 1
were 1
what 1
when 1
where 1
whether 1
which 4
while 1
who 6
whole 1
whom 1
whose 1
will 3
with 11
withdraws 1
witnessing 1
words 1
world 3
wounding 1
wounds 1
yields 1
