16452030
/m/0c26_7
/m/0c26_7
Alex Sanchez
2003-11
{"/m/03mfnf": "Young adult literature"}
a 11
able 2
about 5
accepting 1
afraid 3
after 1
almost 1
alone 1
also 2
altercation 1
an 1
and 22
apologizes 1
approves 1
are 1
asked 1
at 1
away 3
bashing 1
be 4
because 1
beginning 1
best 1
big 1
boring 1
boyfriend 2
break 3
breaking 1
but 3
cafe 1
calls 1
carillo 1
civil 1
coach 4
college 3
come 2
coming 1
confused 1
content 1
conversation 1
court 1
current 1
date 1
debra 1
decides 3
deciding 2
defends 1
discover 2
does 2
doesnt 1
dont 1
door 1
due 1
earlier 1
encourages 1
end 1
eventually 1
everpresent 1
experiences 1
expressing 1
face 1
faces 1
false 1
father 3
feels 2
final 1
finally 1
first 1
for 4
friend 1
friends 2
from 2
front 1
gets 2
give 2
gives 1
glassman 1
go 7
going 3
guys 1
had 2
handles 1
hard 1
have 2
having 1
he 15
high 1
him 10
his 15
hiv 1
hivaids 1
hivpositive 1
home 1
homosexual 1
homosexuality 2
hope 1
hopes 1
hotel 1
hurt 1
idea 1
if 1
immediately 1
in 6
infecting 1
insecure 1
interview 2
invests 1
is 15
issues 2
it 3
jason 12
jeremy 10
just 2
keeps 1
kiss 1
kyle 19
later 1
leave 1
leaving 1
left 1
letter 1
letters 1
life 1
little 1
loneliness 1
lose 1
losing 1
makes 1
may 1
meeks 1
meet 5
might 1
mother 2
nelson 9
nerdy 1
no 1
not 1
of 12
on 5
open 1
opinion 1
or 2
out 6
parent 1
past 1
platonic 1
positive 1
possibility 1
princeton 5
problem 1
problems 1
prom 3
public 1
pushing 1
relationship 3
relieved 1
romantic 1
saying 2
says 1
scholarship 2
school 2
semester 1
senior 1
sexuality 1
she 1
shower 2
so 3
someone 1
sometimes 1
son 1
state 2
stay 1
staying 1
still 2
suspects 1
swim 4
take 1
takes 1
talks 1
team 7
tech 6
tells 1
that 7
the 27
their 6
there 1
they 5
thinks 2
this 2
threat 1
threatens 1
throw 1
time 1
to 35
together 1
told 1
try 1
tv 1
undecided 1
until 3
up 7
upset 3
very 1
waits 1
walks 1
want 2
wanting 1
wants 2
was 2
well 1
when 5
which 3
while 1
who 1
why 1
will 2
willing 1
wins 2
with 6
without 1
would 1
write 2
year 2
