7000227
/m/0g_nly
/m/0g_nly
Katherine Kurtz
1972
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
1121 1
a 7
acquires 1
action 1
actions 2
addition 1
additionally 1
affections 1
after 2
against 1
agrees 1
alaric 1
allow 1
an 11
and 16
answer 1
antideryni 2
anyone 1
appeal 1
appealing 1
archbishop 1
architect 1
are 2
arrive 1
as 1
attempts 1
attend 1
backfires 1
be 1
been 1
being 2
bishops 2
both 1
bronwyn 3
burn 1
but 3
by 4
cannot 1
capital 1
captured 1
charm 2
checkmate 1
church 1
city 3
conflict 1
coronation 2
coroth 1
corwyn 2
cousin 3
cousins 1
crime 1
crushed 1
culdi 2
curia 4
de 1
death 1
decide 1
demands 1
deryni 5
dhassa 3
do 1
drugged 1
duchy 3
duke 3
duncan 9
duties 2
ecclesiastical 3
edmund 1
effectively 1
en 1
enemy 1
ensure 1
entire 2
escape 1
events 1
eventually 1
excommunicate 1
excommunicated 1
executed 1
external 1
facing 1
fails 1
fallen 1
fanatic 1
fanatics 1
fearing 2
fighting 1
for 3
forced 1
four 1
fourteenyear 1
from 2
grey 1
grief 2
group 1
gwynedd 2
gwyneddan 1
haldane 1
halfbrother 1
has 3
he 5
her 1
heretic 1
heritage 1
hidden 1
him 1
his 13
holy 1
horribly 1
however 2
if 1
imminent 1
in 8
informs 1
intends 1
interdict 2
internal 2
invasion 2
is 7
its 1
jealous 1
kelson 7
kevin 2
kills 1
king 1
kingdom 2
lands 1
launch 1
leader 1
learns 1
letter 1
life 1
longer 1
loris 5
love 2
magical 1
manages 1
march 1
may 1
mclain 1
meet 1
monsignor 1
months 1
morgan 14
must 1
named 2
neighboring 1
no 1
novel 1
of 21
old 2
opens 1
option 1
out 2
over 1
part 1
participate 1
penance 1
personally 1
place 2
places 1
plan 1
powers 2
preparing 1
prior 1
punish 1
rabidly 1
rages 1
ravaged 1
ravaging 1
realize 1
rebel 1
rebels 1
recant 1
refuses 1
reminds 1
rescue 1
returns 1
reveal 1
revealed 1
rimmell 3
route 1
schism 1
see 1
seeks 1
sends 1
service 1
set 1
signing 1
sister 2
so 2
soon 1
splitting 1
still 1
submit 1
summoned 1
supporters 1
surrounding 1
suspended 1
takes 1
that 7
the 28
their 1
they 1
though 1
threat 3
threatens 1
throne 1
through 1
thrown 1
time 1
to 30
torenth 2
travel 1
traveled 1
travels 1
trial 2
trouble 1
two 1
under 2
unknown 1
upcoming 1
use 1
wallow 1
warin 2
warn 1
warned 1
weaken 1
wedding 1
when 1
where 1
who 1
will 1
win 1
witch 1
with 4
woman 1
would 1
