6041804
/m/0fm27t
/m/0fm27t
Pat Barker

1 3
2 1
3 1
a 12
after 1
also 1
although 1
among 1
an 1
and 8
any 1
approached 1
are 1
as 1
audrey 1
baby 1
be 1
bears 1
becoming 1
been 1
before 2
birth 1
boy 1
brenda 3
brendas 1
but 2
by 4
care 1
carol 2
carols 1
centred 1
chapter 1
children 1
chooses 1
circumstances 1
clear 1
client 1
climax 1
clues 1
communal 1
conjunction 1
continues 1
corpse 1
customers 1
day 1
description 1
deteriorated 1
determined 1
disappeared 1
divided 1
down 1
dramatic 1
drinks 1
elaborates 1
elaine 2
encounter 1
end 1
episodesencounters 1
evening 1
expecting 1
experienced 1
fear 1
fellow 1
final 2
finally 1
find 1
focus 2
for 2
found 1
friendship 1
from 2
fruit 1
further 1
given 2
goes 1
gradually 1
handwriting 1
has 5
have 2
he 2
heap 1
her 8
herself 1
highly 1
him 1
history 1
identification 1
in 8
instinct 1
intensifying 1
into 2
intoxicated 1
is 12
it 3
jean 3
jeans 2
job 1
juxtaposed 1
kath 4
kids 1
killed 2
killer 3
killing 1
kills 1
knife 1
leads 1
leaving 1
left 1
likely 1
lives 1
love 1
loverelationship 1
luck 1
made 1
makes 1
man 2
manages 1
meet 1
most 2
mother 1
motherly 1
murderer 2
murderers 2
narrated 1
narrative 1
never 1
news 1
novel 2
of 15
off 1
old 1
on 4
one 1
out 2
pair 1
palmerston 1
part 6
parts 1
passages 1
person 1
plan 1
proffer 1
prostitute 3
prostitutes 3
pub 1
putting 1
reader 1
real 1
resistance 1
right 1
role 1
rubbish 1
ruined 1
section 1
seems 1
sees 1
serial 1
she 10
showing 1
shown 1
shows 1
since 1
sleep 1
some 1
sort 1
spot 1
stab 1
starting 1
starts 2
state 1
steadily 1
story 1
street 1
strength 1
suspects 1
switches 2
taken 1
teamwork 1
telling 1
tells 1
that 3
the 34
their 2
them 1
thinks 1
this 1
though 1
three 3
time 1
to 15
told 1
track 1
trap 1
turns 1
unable 1
under 1
vulnerable 1
waiting 1
walking 1
were 1
where 2
whether 1
which 1
who 3
whose 2
with 7
wonder 1
work 1
working 1
young 1
