1895372
/m/064ftm
/m/064ftm
John Updike
1990
16010 1
18818 1
33 1
a 14
acts 1
after 5
agent 1
ago 1
alive 1
also 1
an 1
and 11
anger 1
angrily 1
angstrom 1
annabelle 1
around 1
as 4
at 3
attached 1
attack 2
attractive 1
back 1
basketball 3
be 1
beautiful 1
become 1
becomes 1
bedside 1
been 1
begins 1
believes 1
betrayal 1
bitter 1
bored 1
business 2
but 2
by 2
byer 1
chips 1
cindy 1
city 1
cold 1
comes 1
comfort 1
company 1
confronts 1
control 1
corn 1
dangerously 1
daughter 2
days 2
dealership 1
death 2
decides 1
depressed 1
despite 1
dies 1
discovery 1
distracted 1
divorcee 1
drowning 2
drug 1
drugaddicted 1
during 2
earlier 1
echoing 1
escape 1
estate 1
exploits 1
family 3
father 1
fearful 1
finds 3
florida 2
focuses 1
follows 1
food 1
forgives 1
forty 1
fouryearold 1
friendly 1
from 7
funeral 2
game 1
get 1
girlfriend 1
given 1
glory 2
golf 1
granddaughter 1
grandson 1
group 1
growing 1
habit 1
had 2
harrison 1
harry 12
has 6
have 1
he 9
health 1
heart 3
her 2
hiding 1
high 1
highschool 2
him 1
himself 3
his 17
hospital 1
identify 1
illegitimate 1
impulsively 1
in 7
incident 1
infant 1
is 7
it 1
janice 5
joins 1
judy 3
junk 1
later 1
leads 1
less 1
like 1
local 1
longterm 1
losing 1
lupus 1
macadamia 1
manage 1
manages 1
men 1
midsized 1
mistress 1
months 1
much 1
murkett 1
near 1
nearly 1
nelson 6
nemesis 1
nibbling 1
night 1
nineyearold 1
not 1
novel 2
nurses 1
nuts 1
obese 1
obsessed 1
of 14
old 1
on 2
one 1
onenight 1
oneonone 1
opening 1
other 1
out 2
over 2
overweight 1
part 1
pennsylvania 2
playing 2
possible 1
problems 1
prompts 1
pru 1
rabbit 7
real 1
rebecca 1
recognizes 1
reconcile 1
reconciles 1
recuperating 1
redemption 1
rehab 1
released 1
reminder 1
rest 1
retired 1
ron 2
roy 1
run 2
ruth 1
saddened 1
saves 1
school 1
see 1
seems 1
sees 1
series 1
sexually 1
she 1
shortly 1
some 1
son 2
stand 1
star 1
stealing 1
still 1
stop 1
sunfishing 1
sunny 1
support 1
surgery 1
take 1
teenagers 1
ten 1
that 3
the 20
thelma 1
this 3
time 1
to 14
toyota 1
turned 1
unable 1
unhappiness 1
unwisely 1
very 1
wary 1
was 1
where 1
which 1
while 5
who 2
whom 1
wife 4
winning 1
with 5
woman 2
work 1
worries 1
years 4
young 1
youth 1
