15203202
/m/047gpr8
/m/047gpr8
Jim Butcher
2004-08-03
a 12
accepts 1
accidentally 1
acquaintance 1
acquiring 1
actress 1
after 3
against 1
all 2
almost 2
already 1
an 2
and 15
another 1
appears 1
are 1
arrives 1
arturo 1
as 2
assassination 1
at 2
attack 1
attempt 1
battle 1
be 1
becomes 1
been 1
before 2
behind 1
being 1
between 1
black 2
blown 1
both 1
burned 1
but 2
by 4
calls 1
can 1
chicago 1
children 1
counterattack 1
court 4
crew 1
curse 3
curses 1
dangerous 1
death 2
deaths 1
decides 1
despite 1
destroy 1
director 1
discovered 1
discovers 2
dogs 1
dresden 5
ebenezar 1
end 1
enlists 1
entire 1
entrenched 1
entropy 1
escapes 2
exwives 2
father 2
fee 1
film 1
finds 1
flee 1
for 3
forces 1
frames 1
friend 1
from 4
genosa 3
getting 1
had 1
halfbrother 1
harry 4
has 1
have 1
he 2
help 2
her 1
him 4
his 5
hostages 1
however 1
investigate 1
involved 1
is 1
it 1
jared 1
job 1
karrin 1
kidnapped 1
kill 1
kills 1
kincaid 3
lara 3
learns 1
led 2
litter 1
lord 3
maneuvers 1
mansion 1
mavra 2
mccoy 2
mentor 1
mercenary 1
met 1
more 1
murphy 2
named 1
nest 3
newlyestablished 1
next 2
of 6
old 1
on 1
one 1
out 2
pattern 1
paying 1
people 1
pornography 1
prepares 1
presence 1
prevents 1
puppy 1
raith 6
replacement 1
rescue 1
safety 1
same 1
save 1
saves 1
saving 1
savings 1
series 1
set 1
soon 2
stop 1
stray 1
successfully 1
supporting 1
surprise 1
taken 1
target 1
temple 1
that 4
the 14
them 3
there 1
they 1
thomas 5
tibetan 1
time 1
to 8
truce 1
two 1
unleashed 1
up 1
upon 1
using 1
vampire 2
vampires 1
very 1
white 2
wipe 1
with 1
woman 1
works 1
