17404719
/m/0462p8w
/m/0462p8w
Lisa See
2007
a 9
about 3
accidentally 1
add 1
after 2
afterworld 1
again 1
also 1
although 1
amplified 1
an 1
and 5
appropriate 1
are 1
arranged 1
as 3
at 1
attempt 1
because 3
becomes 1
becoming 1
before 1
being 1
beyond 1
both 1
but 2
by 4
comes 1
concluded 1
constrained 1
contacts 1
controversial 1
copy 1
courage 1
cultured 1
daughter 1
dead 1
death 4
deep 1
deeply 1
despair 1
details 2
difficulty 1
doomed 1
du 1
during 1
dynasty 2
encounters 1
enduring 1
estate 1
evening 1
evils 1
example 1
experienced 1
extensively 1
extreme 1
falls 2
family 1
far 1
father 2
feeling 1
feelings 1
fighting 1
finding 1
first 1
following 1
for 2
forward 1
from 2
funeral 2
getting 1
ghost 2
girl 1
given 1
grandmother 1
great 1
handsome 1
happens 1
has 1
having 1
heard 1
her 17
herself 1
his 2
hopes 1
hungry 2
husband 1
imitating 1
important 1
in 9
influence 2
inner 1
into 2
is 6
joy 1
just 1
lament 1
last 1
later 1
learn 2
learns 1
liniang 2
longer 1
looks 1
love 5
loves 1
maledominated 1
man 4
many 2
marriage 1
may 1
meeting 1
meetings 1
meets 1
ming 1
most 1
mother 2
moved 1
nighttime 1
no 1
not 1
number 1
of 12
older 1
on 3
only 2
opera 2
outside 1
painful 1
past 1
pavilion 3
peony 14
performance 3
personal 1
picked 1
place 1
planning 1
political 1
process 1
properly 1
protect 1
qing 1
reactions 1
remains 1
ren 2
replaced 1
responses 1
right 1
rites 1
rituals 1
second 1
seen 1
she 7
shows 1
sister 1
spirit 1
starves 1
starving 1
sternness 1
suffering 1
takes 1
text 2
that 3
the 23
their 2
themselves 1
third 1
this 2
three 1
thus 1
to 9
trapped 1
treated 1
unfortunately 1
violently 1
voices 1
wanders 1
was 1
wealthy 1
what 1
who 4
wife 1
with 3
wives 2
women 4
world 3
writers 1
written 1
wu 1
young 2
youth 1
