7769640
/m/026cgh3
/m/026cgh3
Gillian Bradshaw
1982-06
a 17
able 1
about 1
accept 1
accompanies 1
accompany 1
after 1
against 1
agravain 3
agrees 1
all 1
allying 1
also 1
ambassador 1
an 5
and 18
any 1
ap 1
apparent 1
are 2
arrive 2
arrived 1
arthur 8
as 7
asks 1
aspired 1
assistance 1
at 1
attracted 1
awaits 1
awaken 1
away 1
back 1
baptizes 1
battle 3
be 1
become 1
becomes 2
been 1
before 1
befriended 1
beg 1
begins 1
berserker 1
boy 1
bran 3
break 2
bringing 1
britain 1
brother 2
bullying 1
but 6
by 4
camlann 3
can 3
casts 1
caught 1
chance 2
changes 2
charm 1
clan 1
cold 1
conspire 1
continues 1
course 1
cousin 1
cure 1
decides 1
degrees 1
departs 1
despite 2
died 1
disappeared 1
disapproval 1
disloyal 1
does 1
doubts 1
down 2
downfall 1
during 2
eivlin 5
elidan 4
embassy 1
encounter 1
enemy 1
erin 1
excuse 1
exhausted 1
eye 1
fact 1
fallen 1
farmer 1
father 5
favor 1
fears 1
find 4
finds 1
first 1
flee 1
foes 1
follows 1
for 4
force 1
foreigners 1
forgiveness 2
fortress 2
found 2
free 1
from 1
gain 1
giving 1
go 1
goes 1
greatest 1
gwalchmai 16
gwyn 2
had 8
has 1
hatred 1
he 23
head 1
help 1
her 12
him 10
himself 1
his 18
hoping 1
householding 1
identity 1
in 9
indeed 1
infamous 1
into 1
is 13
it 1
keep 1
keeps 1
kill 1
killed 2
king 6
knocks 1
land 1
least 1
leave 1
leaves 1
leaving 1
life 1
lost 1
lot 3
love 3
maelgwn 3
magic 2
master 2
meanwhile 1
medraut 7
meeting 1
middle 1
miserable 1
misery 1
month 1
more 2
morgawse 5
mother 4
motion 1
mounted 1
murdering 1
mutual 1
named 3
needing 1
news 2
no 1
not 2
nun 1
of 15
on 2
one 4
only 3
opportunity 1
or 1
out 1
over 1
overall 1
own 1
parents 1
peace 1
physically 1
place 1
planting 1
pleasant 1
plotting 1
prevails 1
promised 2
rage 1
reason 1
rebel 1
recognized 1
reconcile 1
reluctantly 1
renowned 1
reported 1
resists 1
rest 1
result 1
resulting 1
return 1
reveal 1
rhuawn 3
rhys 20
roadside 1
room 1
runs 1
sanity 1
satisfaction 1
search 3
seduced 1
see 1
seeing 1
sent 2
servant 3
servants 1
set 1
she 4
shelter 1
shocked 1
simple 1
sion 1
sister 1
so 1
son 1
speaking 1
spell 1
spies 1
stands 1
stay 1
stronghold 1
struck 1
struggle 1
stubbornly 1
suddenly 1
tactics 1
take 1
taken 1
takes 4
than 1
that 3
the 18
their 4
them 2
then 2
there 5
they 3
thing 1
think 1
this 2
though 1
throughout 1
to 43
together 1
tracks 1
tragic 1
travel 1
tries 2
try 1
turned 1
unabated 1
unable 1
unconscious 1
unharmed 1
uniting 1
unmoved 1
up 1
used 1
uses 1
using 1
varying 1
vision 1
visit 1
visiting 1
warrior 1
warriors 1
was 1
way 1
well 1
wellknown 1
went 1
when 4
where 2
while 2
who 2
will 1
winter 1
witch 2
with 8
witness 1
woman 1
won 1
work 1
wouldnt 1
young 1
younger 1
