5592507
/m/0dv5yz
/m/0dv5yz
Barbara Mertz
1997
{"/m/02n4kr": "Mystery", "/m/0hwxm": "Historical novel"}
a 7
able 1
about 1
accompanied 1
admirer 1
adopted 1
adventurous 1
adversary 1
after 1
age 1
aged 1
aldrichblake 1
all 1
although 1
amelia 2
american 2
an 3
anatomy 1
ancient 1
and 8
another 1
are 3
as 2
at 2
away 1
bastet 1
be 1
been 2
begin 1
begins 1
book 2
by 1
cairo 2
case 1
cat 1
character 1
characters 1
claims 1
clothing 1
communicated 1
continue 1
course 2
criminal 1
cyrus 1
david 1
dead 1
death 1
debutante 1
device 1
dire 1
directly 1
discovers 1
donald 2
earlier 2
egypt 1
egyptian 1
elements 1
emersons 2
enid 1
events 1
family 1
favorite 1
finding 1
first 2
for 5
fraser 1
from 4
give 1
h 1
harder 1
has 1
have 2
her 3
his 1
hotel 1
hunt 1
imbibe 1
in 10
insists 1
inspires 1
is 4
it 1
job 1
lend 1
lion 1
living 1
locations 1
london 1
louisa 1
manuscript 1
marks 1
master 1
meanwhile 1
medicine 1
modern 1
months 1
mummy 1
mystery 1
narrative 1
needs 1
nefret 1
not 2
novel 2
now 1
obsession 1
of 7
old 1
opens 1
otherwise 1
parents 1
permitted 1
princess 2
protection 1
ramses 4
reappear 1
reappears 1
receive 1
related 1
reunites 1
romantic 1
school 1
selecting 1
series 2
sethos 1
she 1
shepheard 1
silly 1
six 1
sixteen 1
son 2
stalker 1
staying 1
studying 1
summer 1
swathed 1
that 1
the 23
their 2
them 1
they 1
this 3
thought 1
through 1
time 1
to 10
tomb 2
triggered 1
two 1
unconvincing 1
undiscovered 1
unwittingly 1
used 1
valley 1
vandergelt 1
various 1
verisimilitude 1
voice 1
volume 1
ward 1
warning 1
was 1
where 1
which 1
whiskey 1
who 2
whom 1
with 3
woman 1
women 1
