2674801
/m/025sdyx
/m/025sdyx
Conrad Richter
1953
11 1
a 6
accompany 1
adopted 1
again 1
all 1
ambush 2
ambushed 1
america 1
american 4
americans 1
and 19
any 1
arrow 5
as 1
attempt 1
aunt 1
avenge 1
back 6
be 3
become 1
been 1
before 1
begin 1
believing 1
betraying 1
blood 1
boat 3
boy 1
brings 1
but 2
butler 1
by 3
calls 1
cameron 1
colonial 1
colonists 2
colony 3
come 1
communicate 1
cousin 1
crane 4
cuyloga 3
do 1
during 2
each 2
end 1
enemies 2
english 2
exchange 1
family 5
far 1
father 2
fights 1
find 1
finds 1
for 3
forces 1
forget 1
friend 1
from 3
gives 1
go 4
group 1
half 5
happen 1
hard 1
has 1
hates 1
have 1
he 4
help 1
him 8
himself 1
his 15
home 2
hostage 1
if 1
in 4
indian 3
inform 1
instead 1
into 1
is 3
it 2
items 1
john 1
journey 2
kate 1
killed 1
lands 1
later 2
leave 1
lenape 1
lenni 1
like 2
line 1
little 4
lost 1
makes 1
men 3
military 1
missing 1
murder 1
must 1
native 4
new 1
night 1
none 1
not 1
objects 1
of 7
on 3
origin 1
other 2
out 2
part 1
pennsylvanian 2
people 1
places 1
plans 1
point 1
previous 1
racist 1
raid 2
rallies 1
randomly 1
rechristened 1
reconnecting 1
refuses 1
reluctantly 1
remarks 1
rescue 1
return 3
returns 1
scalp 1
see 1
seem 1
separate 1
settlement 2
society 1
some 1
son 10
soon 1
speaking 1
stealing 1
taken 1
tell 1
tells 1
territorial 1
territory 2
that 4
the 22
their 4
them 1
then 1
they 6
thus 1
to 21
told 1
too 1
treat 1
tribe 5
tribesman 1
tries 1
trip 1
true 8
uncle 3
upon 1
various 1
venture 1
wars 1
was 2
we 1
were 1
when 1
white 2
who 1
will 2
wilse 1
with 2
years 1
young 1
