822790
/m/03f2qq
/m/03f2qq
Roger Peyrefitte
1943
120s 1
a 11
about 1
actually 1
advances 1
air 1
alexander 4
alexandre 2
already 1
an 1
and 7
andr 2
anonymous 1
are 2
around 1
at 2
back 1
be 1
beautiful 1
been 1
befriends 1
beyond 1
blajan 1
boarding 1
boy 1
boyfriend 1
boys 3
but 2
by 2
cannot 1
catholic 1
cigarettes 1
commits 1
condemnation 1
connotation 1
continues 1
cryptically 1
de 4
demands 1
despite 1
destroy 1
disapprove 1
discretion 1
dismayed 1
do 2
does 1
drinks 1
elegant 1
ended 1
envy 1
even 1
eventually 1
example 1
expelled 2
fact 1
family 1
father 3
feelings 2
ferron 1
few 2
filled 1
for 4
forced 1
fourteenyearold 1
france 1
friend 1
friendship 2
friendships 1
from 1
fruitless 1
georges 8
gets 1
getting 2
giving 1
go 1
good 1
harbour 1
has 2
he 4
him 4
his 4
homosexual 1
however 1
ie 1
immediately 2
in 6
informs 1
interested 1
into 1
invite 1
is 8
it 2
its 1
join 1
kisses 1
know 3
lauzon 2
lead 1
learns 2
letter 1
letters 1
likes 1
love 2
lucien 4
machiavellian 1
marc 1
may 1
meant 1
motier 1
night 1
no 1
not 3
novel 1
of 8
one 3
other 1
over 1
overtones 1
plot 1
poems 1
poses 1
praised 1
priests 2
protect 1
question 1
relationship 3
relationships 1
remain 1
revolves 1
room 1
rouvire 1
sarre 1
scheme 1
scheming 1
school 2
see 1
seem 1
sent 1
set 1
sexual 2
should 1
some 2
special 2
starts 1
student 1
students 1
style 1
subject 1
succeeding 1
suicide 1
talks 1
that 6
the 17
their 3
them 1
these 2
things 1
this 1
though 1
time 1
to 8
towards 1
treated 1
trennes 2
tries 1
twelveyearold 1
unchangedmdashand 1
unfortunately 1
unsympathetic 1
wants 1
warned 1
was 2
ways 1
when 2
which 3
who 4
whom 1
with 5
work 1
you 1
