9483748
/m/028bq33
/m/028bq33
Leo Tolstoy
1882
a 25
about 1
accidentally 1
accusing 1
acknowledged 1
acting 1
addresses 1
afford 1
after 4
again 1
against 1
agrees 1
aids 1
alcohol 1
allowed 1
also 1
amount 1
ample 1
an 5
and 46
angel 4
angered 1
another 1
answer 4
answers 4
appeared 1
appears 2
approached 1
approaching 2
are 2
around 1
arrested 1
arrives 1
articles 1
as 13
asked 1
asking 1
asks 3
assistance 1
assistant 2
astounded 1
at 5
away 1
back 3
bake 1
barely 1
be 6
bearable 1
because 1
become 1
bed 1
been 2
before 1
began 2
begged 1
begin 1
being 1
besides 1
beyond 1
bid 1
bids 1
bites 1
boats 1
body 1
boots 2
borrows 1
both 2
box 1
bread 3
breakfast 1
brief 1
business 1
but 2
by 9
called 1
came 2
can 6
care 2
change 1
children 4
clothing 3
coat 3
cold 1
collect 1
collection 2
comes 1
commanded 1
companion 1
comprehended 1
conditions 1
construct 1
construction 1
continues 1
could 4
cries 1
crippled 5
crushed 2
customer 2
customers 1
day 3
death 2
deathbed 1
debates 2
decided 1
decides 1
did 4
died 1
dinner 1
disheartened 1
disobedience 1
displeasure 1
disregard 1
distinguishes 1
do 4
does 1
doing 1
door 2
down 2
drunkards 1
dwells 2
each 2
earn 1
earned 1
earth 1
else 1
emits 1
enough 2
exception 1
exists 1
explained 1
explaining 1
explains 2
expresses 2
expression 1
face 1
faithful 2
farewell 1
fashion 1
fears 1
feed 1
feeling 1
feels 2
felt 2
fill 1
final 1
finally 2
find 2
finding 1
finished 1
first 2
five 1
following 4
foolish 1
foot 2
for 21
forgiven 1
from 4
full 1
gave 2
girl 4
girls 5
give 1
given 4
gives 3
glow 1
go 2
god 4
goes 1
going 1
good 1
grabbed 1
grateful 1
grim 1
had 5
happens 1
harassing 1
harder 1
has 5
have 3
he 44
head 2
heads 2
health 1
heard 1
hearing 1
heart 1
heaven 1
heavenly 1
help 1
her 7
him 17
himself 2
his 22
holy 1
home 3
household 1
how 3
humble 1
i 1
if 4
immediately 2
in 19
intentions 1
intently 1
is 18
it 5
its 1
keep 1
kind 1
kindly 1
knew 1
know 1
kopeks 4
lame 2
last 1
lastly 1
late 1
leaning 1
learned 1
leather 7
leave 1
left 5
leg 2
life 2
lifeless 1
lifted 1
light 1
lit 1
little 2
live 3
loaf 1
long 2
longer 1
looked 1
looking 1
looming 1
loose 1
lose 1
love 2
make 1
makes 1
man 13
manages 1
matrena 4
may 1
me 1
meal 1
meanwhile 1
measurements 1
men 2
messenger 2
michael 18
mind 1
moment 1
money 3
more 2
morning 3
mortal 1
mother 3
must 4
naked 3
name 2
needed 1
needs 1
new 1
news 1
next 1
night 1
no 4
nobleman 6
not 9
note 1
noticed 1
notices 2
now 1
of 17
old 1
on 10
once 1
one 6
only 4
or 5
order 6
ordinary 1
orphanage 1
other 2
out 2
outlined 1
over 2
owed 1
own 3
pair 2
pale 1
pass 2
peers 1
period 1
pity 2
placed 1
plate 1
poor 1
praise 1
premade 1
preparing 1
previously 1
proceeds 1
punished 2
purchase 1
question 3
questions 2
raised 1
rants 1
rashly 1
rather 2
realized 2
realizing 3
receive 2
regardless 1
relation 2
remains 1
requested 1
rescued 1
return 1
returned 1
returning 1
robed 1
rolled 1
roubles 1
safehome 1
same 1
sang 1
saw 1
seams 1
second 3
see 1
seeing 2
sees 1
settles 1
sew 1
sews 1
shameful 1
shapes 1
share 2
she 13
sheepskin 2
sheepskins 1
shoe 1
shoemaker 1
shoemaking 1
shoes 2
shop 1
shoulder 1
showed 1
shrine 1
side 2
simon 30
simply 1
since 3
sits 1
situation 1
size 1
skins 1
slippers 3
smile 1
smiled 3
smiling 3
so 6
soft 1
something 1
soul 2
speaks 1
spend 1
spends 1
spent 1
stare 1
stares 1
starts 1
state 2
stay 1
stops 1
story 1
strange 3
stranger 9
strict 1
such 2
surrounded 1
suspicious 1
take 5
takes 1
task 1
tell 1
tension 1
terms 1
than 3
that 28
the 87
their 4
them 7
there 3
these 1
they 7
thick 2
thing 1
third 1
this 7
those 2
though 1
three 2
threerouble 1
thus 3
till 1
time 4
times 1
to 56
together 1
too 1
took 1
toward 2
twenty 4
two 3
until 1
up 1
use 1
usually 1
very 2
vodka 1
walk 2
was 9
watches 1
way 1
wear 1
what 7
when 12
whether 1
which 2
while 2
who 5
why 4
wife 4
will 1
wings 2
winter 2
with 9
without 1
woman 10
wonders 1
would 5
wrapped 1
wraps 1
year 1
