12254845
/m/02vxt8x
/m/02vxt8x
Ernest Callenbach
1981
{"/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
20 1
a 28
about 2
abroad 1
academic 1
accident 1
adopt 1
adventurism 1
after 1
against 1
aided 1
alcohol 1
allwen 2
along 2
alternative 1
america 1
american 1
an 4
and 26
angered 1
announcement 1
arabia 1
ardent 1
are 5
artists 1
as 4
at 1
attack 1
attacks 1
automobile 1
available 2
bankrupted 1
be 1
because 1
become 1
becomes 1
been 1
begin 1
begins 1
berkeley 1
between 1
bolinas 3
bombed 1
bombs 1
book 3
border 1
brazil 1
break 1
breakdown 1
breakthrough 1
briefly 1
budgets 1
buggy 1
build 1
building 1
burglars 1
business 1
busy 1
buy 1
by 2
california 4
called 2
car 1
carfree 2
cars 1
catastrophe 1
caught 1
cell 6
cells 1
characters 2
cheap 1
cheaply 1
chemical 1
cities 1
city 1
claims 1
coalition 1
coast 1
coincidence 1
collective 1
come 1
compliant 1
concentration 1
constitutional 1
convention 1
corporate 3
corporations 1
court 1
create 1
creates 2
crisis 1
dc 1
deal 1
decentralized 1
decides 2
declares 1
dependent 1
describes 1
design 2
determined 1
develop 1
difficulties 1
diplomatic 1
dirty 1
discovers 1
dislocations 1
distill 1
doesnt 1
each 1
east 1
eastern 1
economic 3
economy 2
ecotopia 6
ecotopian 3
ee 1
electricity 1
end 1
ends 1
energy 3
environmentalist 2
essentially 1
establish 1
established 1
events 2
eventually 1
explode 1
families 1
farm 1
fashion 1
final 1
finally 1
finds 1
following 1
food 1
for 3
force 1
form 1
fossil 1
freely 1
fresh 1
friends 1
from 5
fuels 1
future 2
generate 1
gives 1
goats 1
government 2
governments 1
governorship 1
guard 1
habit 1
has 2
have 2
helicopter 1
helicopters 1
helps 1
her 4
high 1
history 1
horsedrawn 1
how 1
however 1
ideas 2
if 1
imported 1
in 12
independence 3
independent 1
independently 1
individuals 1
infiltrated 1
into 1
is 9
it 4
its 1
itself 1
keep 1
key 1
large 1
lawns 1
leader 1
leads 1
lightweight 1
likely 1
likeminded 1
living 1
local 2
longer 1
lou 3
lous 1
lowtech 1
lucky 1
lurched 1
main 1
mainly 1
make 1
makes 1
making 1
man 1
massing 1
meanwhile 2
media 1
middle 1
military 2
model 2
more 1
move 1
movement 1
mow 1
name 1
nation 2
national 1
neither 1
nevada 1
new 3
no 1
northern 1
northwest 1
notes 1
novel 1
now 1
nuclear 2
obtain 1
occur 1
of 11
offers 2
oil 1
oilhungry 1
on 3
one 1
or 1
orchard 1
other 4
outmigration 1
outrage 1
overturns 1
own 1
pacific 2
pacify 1
paper 2
part 1
party 9
pass 1
people 3
physicist 1
planted 1
platform 1
policies 1
political 4
politicians 1
populist 1
possibility 1
power 1
practical 1
preparing 1
proceed 1
proceeds 1
produce 1
professionals 1
public 3
publish 1
publishes 2
quebec 1
quebeccanada 1
quo 1
ready 1
recalled 1
reduce 1
referred 1
refineries 1
refusal 1
refuses 1
refusing 1
region 6
regional 1
relations 1
remodeling 1
replanted 1
reprinted 1
residents 1
rest 1
results 1
rural 1
saudi 2
school 1
science 1
seawater 1
secede 1
secession 3
secessionist 1
secessionists 1
securely 1
seems 1
selling 1
senator 1
send 1
sets 1
she 7
short 1
shown 1
slashed 1
solar 4
some 2
sources 1
southern 1
special 1
speeches 1
spies 1
splitting 1
spread 1
spurns 1
start 1
starts 1
state 3
states 1
status 1
steps 1
stills 1
stop 1
storyline 1
student 1
suburban 1
such 1
suddenly 1
supplying 1
supporters 1
supporting 1
supreme 1
survivalist 5
sustainable 3
swift 2
sympathetic 1
take 1
tank 1
tax 1
technology 1
teenage 1
text 1
that 1
the 63
their 4
them 2
these 1
they 3
think 1
thinking 1
this 2
threatens 1
tip 1
to 26
too 1
toward 3
tract 1
troops 1
try 1
two 1
understand 1
understands 1
units 1
unseen 1
until 1
up 2
us 10
use 1
uses 1
vera 2
veras 1
war 3
washington 2
waste 1
water 1
way 2
when 3
where 1
which 1
will 2
with 10
within 1
work 1
works 1
would 1
years 1
york 1
young 1
zones 1
