62651
/m/0gxw1
/m/0gxw1
William Shakespeare
1623
a 16
accepts 1
accompanied 2
after 2
an 1
and 19
any 1
appalled 1
appear 1
approves 1
army 3
arts 1
as 4
at 4
attracting 1
be 1
bearing 1
beauty 1
become 2
bed 1
been 2
belonged 2
bertram 13
between 1
birth 1
bitterness 1
both 1
but 3
by 3
came 1
camp 1
can 1
child 1
chooses 1
city 1
close 1
come 2
comes 3
comfort 1
conditions 1
consents 1
count 1
countess 4
court 1
coward 1
cures 1
daughter 3
dead 2
decides 1
declares 1
departs 1
despite 1
diana 7
discovers 1
distraught 1
drawing 1
duke 2
ever 1
everyone 1
explain 2
expose 1
faithful 1
falls 1
false 1
family 1
famous 1
father 1
favour 1
fight 1
finger 2
fistula 1
flees 1
florence 2
follows 1
formerly 1
france 3
from 5
fulfilled 1
general 1
get 1
gift 1
given 1
gives 2
goes 1
hand 1
has 3
have 2
he 7
helena 15
helps 1
her 10
him 2
his 9
home 1
hope 1
hopelessly 1
however 3
husband 3
ill 1
in 11
informing 1
informs 1
interpretations 1
is 14
it 3
just 1
kindly 1
king 4
lafew 1
letter 1
life 1
lord 1
lords 1
loss 1
love 3
loves 1
low 1
make 2
man 1
many 1
marriage 2
match 2
meanwhile 2
messengers 1
modern 1
mother 1
mourning 1
named 2
neither 1
never 1
new 1
night 1
no 1
nobleman 1
notices 1
of 17
old 1
on 1
only 1
orphan 1
out 1
paris 1
parolles 2
pass 1
physician 1
pilgrimage 1
planning 1
pregnant 1
realising 1
realm 1
receives 1
religious 1
remains 1
return 2
ring 4
room 1
rousillon 3
same 1
saved 1
scoundrel 1
seduce 1
sent 2
she 6
shortly 1
since 1
so 1
son 1
spouse 1
stay 1
suffers 1
that 8
the 33
their 1
then 1
they 1
time 1
to 21
token 1
trick 1
trickeryfollowed 1
tries 1
true 2
trying 1
turn 1
two 1
unknown 1
unless 1
using 1
villain 1
virgin 1
virginal 1
visiting 1
war 1
ward 1
was 1
when 2
where 1
which 2
who 3
widow 2
wife 1
will 2
wise 1
wishes 1
with 3
without 1
woman 1
word 2
worth 1
young 1
