5162603
/m/0d5q3p
/m/0d5q3p
Robin Cook
1998-12-31
a 13
about 1
accepts 1
after 1
an 1
and 8
animal 1
antibiotics 1
appearance 1
appears 1
are 2
as 1
assassin 2
at 4
ate 1
attacked 1
bad 1
becky 4
beef 2
been 1
begin 1
begins 1
body 1
book 2
burger 2
burgers 1
by 4
came 1
care 1
chain 1
changing 1
coli 1
come 1
committed 1
condition 1
confidence 1
confirm 1
contracted 1
country 1
couple 1
cow 2
create 1
daughter 2
day 3
deteriorate 1
dies 1
disease 1
diseased 2
disposing 1
divorce 1
doctors 1
dr 1
e 1
eats 1
emergency 1
entrusted 1
escape 1
estranged 1
exwife 1
failure 1
farmhands 1
fast 1
fda 1
feeling 1
finds 1
first 2
flee 1
food 1
foods 1
for 1
from 3
gets 1
going 1
has 1
have 1
having 1
he 9
help 1
helpless 1
her 2
him 3
his 10
hospital 1
house 1
how 1
however 3
ignored 1
in 4
inability 1
infected 1
infiltrates 1
infuriates 1
instead 1
into 2
is 4
it 3
janitor 1
job 1
jobless 1
justice 1
kills 1
kim 3
learns 1
leaving 1
life 1
like 1
look 1
loose 1
make 1
makes 2
making 1
malpractices 1
manages 1
managing 1
mentioned 1
mercer 1
mission 1
most 1
motions 1
moves 1
multiple 1
nearby 2
neonazi 1
next 2
night 1
o157h7 1
of 6
on 2
onionring 1
only 1
opens 1
organ 1
out 3
pain 1
protagonist 1
public 1
rapidly 1
rare 1
records 1
reggis 1
renegede 1
resistant 1
resolve 1
restaurant 1
revealed 1
room 1
ruckus 1
rush 1
save 1
scene 1
sell 1
severe 1
she 3
showing 1
slaughter 1
slaughterhouse 4
sorrow 1
start 1
steak 1
story 1
strain 1
strengthening 1
take 2
takes 1
that 2
the 28
then 2
there 3
they 4
through 1
to 12
trace 1
traces 1
tracy 2
truth 1
unit 1
us 1
visit 1
which 2
who 2
wife 1
with 4
work 1
works 1
