3850149
/m/0b36m7
/m/0b36m7
Judy Blume

a 9
able 1
about 1
acquire 1
after 3
all 2
allowance 1
and 9
andew 1
andrew 10
angry 1
answer 1
are 2
as 2
asking 1
asks 1
at 3
attempts 1
attention 1
back 1
be 1
because 6
bed 1
before 1
believe 1
believes 1
better 1
blue 2
born 1
boy 1
brown 1
but 5
by 2
calls 1
can 3
cents 1
claims 1
class 1
closely 1
comes 1
concoction 2
could 2
counting 1
day 1
did 2
dirty 1
disadvantage 1
disgusting 1
do 1
does 1
dots 1
draw 1
dream 1
drinking 2
dying 1
ears 1
eightysix 1
ends 2
envied 1
envies 1
everybody 1
expected 1
explains 1
face 3
feels 2
fifty 1
find 2
fingers 1
first 1
five 1
fool 1
fools 1
for 6
formula 2
freckle 1
freckles 15
frustrated 1
get 6
gets 1
getting 1
girl 1
gives 3
go 1
goes 1
good 2
got 3
had 2
has 3
hates 1
have 4
he 31
her 5
him 11
his 13
home 2
how 2
idea 1
if 3
immediately 1
in 1
including 1
ingredients 1
ironically 1
is 5
it 2
joke 1
juice 1
kelly 2
lane 2
later 1
laughing 1
like 2
little 1
look 4
looks 1
make 2
makes 2
many 1
marker 2
medicine 1
miss 2
mother 3
named 1
neat 1
neck 2
never 1
next 1
nicky 6
nose 1
not 6
notices 1
numerous 1
observes 1
of 6
often 1
on 5
once 1
one 1
ones 1
only 2
over 1
own 1
pay 1
peppermint 1
pink 1
prank 1
prove 1
puts 1
queasy 1
real 1
realises 1
really 1
recipe 5
removing 1
rid 1
ridiculous 1
runs 1
school 3
secret 2
sees 1
several 2
sharon 6
she 5
sick 2
six 1
skips 1
sneaky 1
so 4
some 1
still 1
substitutes 1
tastes 1
teacher 1
tell 1
tells 2
that 6
the 7
them 3
then 1
they 1
thinks 2
this 3
through 1
to 22
told 1
tricks 1
tried 2
two 1
unfortunately 1
up 2
use 3
used 2
using 1
very 1
victim 1
wants 2
warts 1
was 2
wash 1
weeks 1
well 1
when 1
which 5
whispers 1
who 1
will 2
with 1
worth 1
would 2
wrong 1
you 1
