189288
/m/019x6x
/m/019x6x
Dav Pilkey
1997
2000 4
3d 3
46 1
a 20
abandoned 1
about 1
accident 1
act 1
adventure 1
after 4
aims 1
all 1
although 1
amazing 1
america 1
an 2
and 30
angry 1
anyone 1
appears 1
apprehended 1
are 2
around 2
arrest 2
as 8
at 5
attack 1
automatically 1
avoid 1
away 2
back 2
backbreaking 1
bad 1
ball 1
band 1
bank 2
bath 1
batman 1
beard 1
begged 1
begin 2
begins 1
being 1
believing 1
between 2
blow 1
book 2
books 1
boomer 1
boys 1
british 1
bubble 1
but 5
buys 1
by 4
cafeteria 1
cameras 1
can 2
cancel 1
cape 1
captain 20
captured 1
caught 1
cause 1
causes 1
causing 4
change 2
chaos 1
cheerleaders 1
chicken 1
children 2
city 1
clinging 1
comes 2
comic 5
coming 1
company 1
confronts 1
corporate 1
covers 1
cream 1
crime 1
crystal 2
curiosity 1
decides 1
defending 1
departs 2
desperation 1
destroying 1
destruction 1
diaper 8
diapermatic 1
distress 1
do 1
doesnt 1
doggy 1
dont 1
doodoo 1
down 2
dr 8
dragged 1
dragon 2
dress 1
drinks 1
due 1
dumping 1
earlier 1
earth 2
eats 1
embarrassed 1
ends 1
enjoys 1
enraged 1
escape 1
etc 1
every 1
evil 1
exciting 1
explodes 1
exposed 1
face 1
fake 1
fall 1
featuring 1
feet 1
fiasco 1
fight 2
figure 1
filling 1
finds 1
fingers 2
flushes 1
foam 1
foiling 1
food 1
fooled 1
fooling 1
football 5
for 3
friends 1
from 4
game 4
gave 1
george 15
get 2
gets 1
give 1
gives 1
go 1
going 1
guilty 1
gun 1
guys 1
had 2
half 1
hand 1
hard 1
harold 12
has 1
have 1
he 5
head 2
heads 1
hear 1
heels 1
heidi 1
helium 1
hero 1
hide 1
hiding 1
him 6
himself 1
his 10
homemade 1
horrified 1
how 1
hulk 1
hunk 3
hutchins 1
hypno 1
hypnoring 2
hypnotizes 1
hysterics 1
i 1
if 2
in 11
incapable 1
incapacitate 1
including 1
incredible 1
incriminating 1
inedible 2
instruction 1
instruments 1
into 2
introduction 1
is 9
it 9
itching 1
jokes 1
knuckleheads 1
krupp 12
labor 1
lamppost 1
large 1
lasermatic 3
later 1
laugh 1
less 1
lever 1
life 1
lil 1
liquid 2
little 2
longer 1
lost 1
made 1
madeup 1
major 1
making 1
manual 3
marching 1
me 1
meanwhile 1
meet 1
mercy 1
miss 1
monkey 1
monster 2
moon 2
mr 12
mrkrupp 1
much 1
name 1
nappy 1
near 1
nearby 1
need 1
next 1
no 1
normal 1
note 1
notice 1
of 16
office 1
ointment 1
old 2
on 9
one 1
or 4
orders 1
our 1
out 3
outside 1
over 5
own 1
pacifier 1
pair 1
parody 1
pepper 1
person 1
plan 1
planet 1
plans 1
played 1
players 2
playground 1
point 1
police 3
pompoms 1
pouring 2
power 1
practical 1
pranks 1
preparing 1
principal 1
pulls 1
purple 2
rapidly 1
ray 1
reading 2
reality 1
receive 1
recorded 1
renders 1
replaces 1
replacing 1
resembles 1
resolving 1
resort 1
responsible 1
return 2
returns 1
ring 1
robbers 2
robots 3
role 1
roll 1
rope 1
rules 2
safety 1
same 1
school 3
scratch 1
self 2
selfdestruct 1
series 2
seriously 1
set 1
sewers 1
shoot 1
shoots 1
show 2
singalong 3
sister 1
size 1
skateboards 1
sky 1
slingshot 1
snap 1
snaps 1
sneeze 1
so 5
someone 1
soon 1
sprinkling 1
starts 1
station 1
stealing 1
stinky 1
stop 1
story 1
successfully 1
suddenly 1
superhero 1
superheroes 1
superman 1
surprise 1
surrender 1
switch 1
taco 1
take 2
takes 1
taking 1
talking 1
taped 1
tasks 1
team 4
telling 1
terribly 1
than 1
that 6
the 85
their 9
them 8
then 2
there 4
these 1
they 10
theyve 1
thinking 1
this 3
threatens 1
three 1
throw 1
throws 1
tie 1
tied 2
to 45
toilet 1
toilets 2
too 2
toss 1
trance 1
transformer 1
transforms 1
tries 2
troublemakers 1
try 1
turn 1
turns 1
two 2
underpants 18
underwear 4
unknown 1
untie 1
up 6
use 1
used 1
uses 1
van 1
version 1
very 1
video 6
videos 1
wallawalla 1
warehouse 2
warns 1
was 2
washington 1
wasted 1
water 3
wedgie 1
weeks 1
were 1
when 2
whenever 2
where 1
which 4
while 1
whisk 1
who 3
will 2
wiseguy 1
with 8
without 1
witness 1
work 2
works 1
world 2
wouldnt 1
you 1
