19099649
/m/04jfsbk
/m/04jfsbk
Greg Egan
2008-05-15
{"/m/06n90": "Science Fiction"}
a 8
accretion 1
all 1
aloof 2
alternate 1
amalgam 3
an 1
and 9
application 1
are 1
around 1
as 2
at 2
attempts 2
basic 1
be 1
becomes 1
begins 1
black 1
by 3
chapters 1
citizens 1
civilisation 1
clear 1
collapsed 1
come 1
compelling 1
complex 1
contact 2
control 1
core 1
covers 1
crocodile 1
dangers 1
disk 1
dna 1
dynamics 1
effects 1
encounter 1
environment 1
exists 1
explored 1
explores 1
familiarity 1
first 2
follows 1
found 1
frame 1
galactic 1
general 1
glory 1
gravitation 1
has 1
have 1
high 1
holes 1
home 1
in 4
inhabitants 1
investigating 1
involves 1
is 3
it 1
its 3
kind 1
known 1
least 1
mass 1
meteor 1
milky 1
much 1
narrative 2
narratives 1
neutron 1
newtonian 1
novel 2
object 1
of 7
on 2
orbital 1
orbits 1
origin 1
other 1
pastfuture 1
progresses 1
reference 1
rejected 1
relativity 1
requires 1
reversal 1
riding 1
role 1
second 1
set 1
short 1
small 1
splinter 3
star 1
stars 1
stories 2
story 2
subject 1
that 1
the 23
their 1
this 1
tied 1
to 4
together 1
twist 1
two 4
understand 1
understanding 2
until 1
various 1
wanderer 1
wayspanning 1
which 2
wider 1
with 3
within 2
world 1
