1250878
/m/04m5v9
/m/04m5v9
Kingsley Amis
1968-03
{"/m/02n4kr": "Mystery", "/m/06wkf": "Spy fiction", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 9
about 1
aegean 1
agents 2
alexandrou 1
all 1
almost 1
an 2
and 11
ariadne 3
army 1
as 1
at 1
athens 1
attack 2
be 1
been 1
before 1
behind 1
blame 1
bodies 1
bond 17
britain 1
brutally 1
but 3
by 6
captives 1
capture 1
captured 1
caress 1
chief 1
chinese 1
clues 1
colonel 2
communist 1
complex 1
conference 4
confrontation 1
country 1
cuts 1
dead 1
demise 1
destroy 1
disaster 1
discovers 1
down 2
dtente 1
dying 1
east 1
encourages 1
escapees 1
examined 1
except 1
father 1
fighter 1
finally 1
find 1
finds 1
follows 1
fondly 1
for 3
former 2
free 1
frees 1
friend 1
from 1
girls 1
great 1
greek 1
had 1
hands 1
he 4
headquarters 2
help 2
her 1
him 5
his 3
hosting 1
house 2
however 1
in 6
incident 1
inevitable 1
intends 1
intent 1
international 1
involvement 1
is 10
islands 1
james 1
kidnap 1
kidnappers 1
kills 3
knife 1
knocked 1
late 1
leader 1
leading 1
learns 1
liberation 1
litsas 2
m 4
medal 1
meets 1
men 1
middle 1
militarypolitical 1
mortar 1
nazi 1
nearly 1
not 1
of 9
offering 1
on 2
one 4
only 1
ordered 1
organisation 1
other 2
out 1
people 1
persuades 1
plans 1
plot 1
politely 1
prevent 1
process 2
provides 1
realise 1
rescuing 1
resistance 1
richter 3
russians 1
sabotage 1
saved 1
saving 1
secret 1
sent 1
service 1
several 1
she 2
soviet 4
soviets 1
stab 1
stabs 1
stop 1
sun 12
survives 1
take 1
telling 1
tells 1
thank 1
that 5
the 25
their 1
them 1
then 1
there 1
they 1
third 1
to 11
together 1
tortured 1
tortures 1
tracks 1
traitor 1
trying 1
turns 1
union 1
until 1
use 2
venue 2
violently 1
visiting 1
von 3
vrakonisi 1
war 1
when 1
which 2
who 2
will 2
with 1
work 2
world 1
wound 1
ww2 1
