9109298
/m/027xz4n
/m/027xz4n
Felix Dahn

140s 1
16 1
168 1
1871 1
1888 1
535552 1
a 23
able 1
about 1
accordingly 1
achieve 1
acts 1
actual 1
adolescents 1
adopts 1
after 2
against 1
agenda 1
albinus 1
alliance 1
already 1
also 3
amalasuntha 3
amongst 1
an 3
ancient 1
and 24
another 1
are 6
armourer 2
arnoschmidtreferenz 1
arranges 1
as 9
assisted 1
at 5
athalaric 2
back 1
battle 2
be 3
become 1
been 1
before 1
beginning 1
being 2
belisarius 2
belongs 2
besides 1
bestow 1
between 2
book 8
both 3
boys 1
buecherquellecom 1
but 7
by 5
byzantine 3
byzantines 4
campaigns 2
capture 1
carry 2
cethegus 5
chapters 1
character 1
characters 2
charismatic 1
cheating 1
chronology 1
citizen 1
civilisation 1
clan 1
colourful 1
combine 1
conquered 1
conservative 1
consider 1
considered 1
conspiracy 1
conspirators 2
constantinople 1
context 1
continuously 1
control 1
corpse 2
corrupting 1
cost 1
courage 1
create 1
criticism 1
crown 1
cunning 1
dahn 2
dark 1
database 1
daughter 1
death 2
deaths 1
decadence 1
defeated 1
defend 1
defending 1
dejected 1
demise 2
der 1
describes 1
details 1
determined 2
dies 2
dismay 1
do 2
does 1
doom 1
downfall 1
duel 1
during 1
each 1
edition 1
eg 1
ein 2
emperor 3
empire 10
end 2
ends 1
envisioned 1
envisions 2
essential 1
european 1
even 1
except 1
face 1
fact 2
fails 1
faithful 1
fall 1
families 1
family 1
fate 2
felix 1
fellow 1
felt 1
fiance 1
fictional 1
figure 1
films 1
firm 1
focuses 1
focusses 1
follow 1
following 1
for 12
former 1
founded 1
from 3
gasl 1
generation 1
german 7
germanic 1
get 1
goal 1
gothic 4
goths 2
grandson 1
great 5
groups 1
gutenberg 1
handed 1
happy 1
hardy 1
has 4
have 1
he 11
heir 1
her 1
heroic 1
heroism 1
hildebrand 2
him 1
his 18
historian 2
historical 3
history 1
hope 1
however 1
i 5
if 1
ii 2
imperial 1
importance 1
important 1
in 21
incorporated 1
independent 1
influence 1
interesting 1
internet 1
interpreted 2
interwoven 1
into 2
intrigue 1
involved 1
is 20
island 1
it 3
italian 3
italy 3
its 2
justinian 3
kampf 4
keep 1
kept 1
kindred 1
king 4
kingdom 4
kings 1
knows 1
la 1
lactarius 1
last 3
late 1
leader 1
led 1
legacy 1
lesser 1
library 1
lie 1
lies 1
life 1
like 2
literature 1
loosely 1
lost 2
made 1
main 3
mainly 1
maintain 1
majority 1
make 2
man 3
many 1
marriage 1
marry 1
marshals 1
matasuntha 1
mature 1
meanwhile 1
members 1
men 1
merger 1
migration 1
military 1
moment 1
mons 1
most 3
mother 1
motif 2
motives 1
mount 1
movie 1
much 2
names 2
narcissist 1
narrow 1
narses 2
nationalistic 1
nature 1
near 1
need 1
never 1
new 1
newly 1
next 1
north 1
northern 1
not 4
novel 3
of 38
old 1
on 5
once 1
opportunity 1
opposed 2
opposes 1
order 2
orson 1
ostrogoth 1
ostrogothic 2
ostrogoths 8
others 2
our 1
out 1
outlast 1
over 2
own 1
pass 1
patrician 2
pdf 1
peninsula 2
people 4
period 1
person 1
pessimistic 1
philosophy 1
plot 1
plotting 1
poem 1
pope 1
population 1
portrayed 1
predestined 1
prediction 1
prefect 1
prematurely 1
present 1
previous 1
procopius 2
produced 1
progression 1
project 1
quickly 1
rauthgundis 1
reason 1
rebuild 2
reclaim 1
reconquest 1
record 1
recounts 1
reign 1
reigns 1
relationship 2
remembered 1
reminiscent 1
represents 1
reprint 1
requires 1
residence 1
restore 1
retrospect 1
reveals 1
rich 1
rid 1
robert 1
rom 4
roman 6
rome 3
roots 1
rule 1
ruled 1
sacrifice 1
same 2
save 2
scavola 1
scene 1
scheming 2
secret 2
shape 1
shrewd 1
silverius 1
siodmak 1
so 2
source 2
specifically 2
stand 1
starring 1
state 2
stated 1
stead 1
story 5
strategist 1
strength 1
stride 1
strives 1
struggle 4
subdue 1
subplot 1
succeed 1
successors 1
symbolised 1
symbolises 1
task 1
teia 5
text 2
that 5
the 110
their 9
theirs 1
them 1
theodora 2
theodoric 8
therein 1
thermopylae 1
these 1
they 3
this 7
though 1
three 1
throughout 4
thule 1
thus 1
time 2
to 32
too 1
totila 3
tragedy 3
traitor 1
tries 2
true 1
try 1
turned 1
two 1
um 4
under 1
underage 1
unravels 1
unsuccessful 1
until 1
upon 1
us 1
valeria 1
vandals 1
verrat 1
vesuvius 1
view 1
vitiges 2
war 2
was 5
waste 1
way 1
we 3
well 1
welles 1
western 2
when 1
where 2
whereupon 1
which 2
while 1
who 7
wife 1
will 1
william 1
wise 1
wishes 1
with 8
witiges 1
work 1
world 1
write 1
you 1
young 1
