22253689
/m/05q5wf6
/m/05q5wf6
Caroline Lawrence
2009
a 1
accept 1
accused 1
acquaintances 1
after 1
alive 2
all 1
already 1
and 10
apparently 1
are 6
aristo 3
as 1
asia 1
authorities 1
bad 1
bato 1
be 2
begins 1
being 1
bodyguard 1
book 1
bribed 1
brings 1
but 2
by 4
can 1
cannot 1
child 1
children 2
chryses 1
colossus 1
comes 1
compensate 1
countryside 1
cure 1
cured 1
death 1
decided 1
delighted 2
died 1
disappeared 1
discover 1
does 1
egypt 1
else 1
embark 1
encounter 1
end 1
enemies 1
engaged 1
eyewitness 1
father 1
feelings 1
find 2
fire 1
flaccus 2
flavia 4
for 3
full 1
get 1
giant 1
giving 1
great 1
guardian 1
guilt 1
had 2
halicarnassus 1
happiest 1
has 2
have 1
having 1
he 5
heal 1
helps 1
her 2
hiding 1
him 1
his 4
hope 1
house 1
in 7
is 9
it 1
jonathan 4
jupiter 1
kidnapped 1
kidnapping 2
know 1
lame 1
last 1
loss 1
love 1
lovesick 1
lupus 2
lydia 1
magistrate 1
magnus 1
make 1
many 1
miriam 1
most 1
muteness 1
nephew 1
nephews 1
news 1
not 2
nubia 2
nurse 1
obscure 1
of 8
old 1
one 1
only 1
others 1
over 2
own 1
philadelphius 1
places 1
plagued 1
poet 1
prophetic 1
prophets 1
proposal 1
pursued 1
reported 1
resumed 1
revealed 1
rhodes 1
roman 3
rome 1
seen 1
sense 1
several 1
she 2
shipwreck 1
shocked 1
shown 1
sick 1
since 1
slave 1
slavers 1
someone 1
still 4
story 1
taken 1
that 4
the 20
their 3
them 3
they 4
to 10
trader 1
treason 1
tutor 1
twin 1
visions 1
visited 1
wanted 1
was 1
wet 1
wetnurse 1
where 2
who 2
whose 2
with 1
