1332293
/m/04tfqs
/m/04tfqs
Ben Elton
1996-08-05
a 9
accepting 1
actions 1
actually 1
all 1
also 1
always 1
america 2
an 2
and 12
angeles 1
announce 1
announces 1
any 1
anyone 1
anything 1
are 3
artist 1
as 4
at 1
attempt 1
avoid 1
be 2
been 1
begin 1
begins 1
between 1
blame 2
blamed 1
book 4
brooke 1
bruce 7
but 2
by 4
camera 1
can 2
centre 1
characters 2
claims 1
climax 1
clues 1
cool 1
created 1
crew 1
crimes 1
critically 1
daniels 1
date 1
daughter 1
death 1
defends 1
delamitiri 1
delamitri 1
depicts 1
details 1
die 1
differences 1
different 2
do 3
documentaries 1
does 2
doesnt 1
earlier 1
echoing 1
else 1
encourages 2
ends 1
ensuing 1
epilogue 1
escaping 1
everyone 4
examples 1
existing 1
explicitly 1
few 1
finding 1
firing 1
for 5
formulated 1
found 1
frantic 1
free 1
from 3
fun 1
future 1
get 1
giving 1
grimly 1
groups 1
guards 1
guilty 1
hand 1
happen 1
has 3
have 4
he 8
him 3
himself 1
his 3
hold 1
holds 1
hollywood 1
hostage 1
hostages 1
house 1
how 2
however 1
humans 1
if 1
imply 1
in 11
industry 1
injured 1
innocent 1
inside 1
is 5
it 3
its 1
joined 1
just 2
kill 1
killing 1
known 1
lapd 1
lawsuits 1
lengthy 1
like 2
line 1
live 1
los 1
make 1
makes 1
making 2
mall 1
many 2
media 1
minutes 1
monitor 1
mostly 1
motion 1
movie 1
movies 3
murderers 1
near 1
necessarily 1
never 1
next 1
no 1
not 3
novel 1
numerous 1
of 8
on 4
one 1
or 2
other 1
others 1
our 1
ourselves 1
own 1
pair 1
parts 1
penalty 1
people 4
picture 1
place 2
plan 1
pnbsp13 1
poorer 1
possible 1
problem 1
progresses 1
protagonist 1
psychopaths 1
publicly 1
rant 1
rather 1
ratings 1
reaches 1
religion 1
responsibility 3
responsible 1
reveils 1
rich 1
robots 1
routes 1
same 1
saw 1
says 1
scout 2
screen 1
seeing 1
set 1
shortcoming 1
showing 1
siege 2
so 1
social 1
society 1
something 1
spare 1
specified 1
speech 1
stops 1
story 2
subdue 1
suggest 1
survivors 1
taken 1
takes 2
telling 1
than 1
that 8
the 33
theatre 1
their 1
there 1
these 2
they 2
think 2
this 1
throughout 1
time 1
to 8
tragedy 1
tv 3
unfortunately 1
up 1
us 3
using 1
various 1
varying 1
violence 3
want 1
watching 2
way 1
wayne 4
we 1
what 1
which 2
who 2
wife 1
will 1
with 2
works 1
