25077655
/m/09gc3ff
/m/09gc3ff
Gary Kinder

1 1
16 1
174 1
20 1
22 1
43 1
52 1
a 3
addition 1
additional 1
aftermath 1
age 5
air 2
airmen 1
all 1
also 2
an 2
and 12
andrews 4
ansley 3
april 1
armed 2
arrived 1
as 3
assisted 1
at 4
base 1
because 1
book 1
books 1
bound 1
briefly 1
brutal 1
but 1
by 2
car 1
carol 3
cortney 5
crime 4
dale 1
death 1
did 1
drano 1
drink 1
during 1
each 2
electronics 1
employees 1
ensnaring 1
entered 2
equipment 1
events 1
expected 2
expensive 1
family 2
father 1
first 2
five 2
focused 1
focuses 1
for 2
force 2
forced 1
had 2
head 1
her 1
hifi 4
hill 1
him 1
his 1
home 2
horrific 1
hostage 2
in 8
inadvertently 1
injuries 1
interrupted 1
into 1
it 2
just 1
keith 1
killed 1
later 3
left 1
look 2
many 1
meanwhile 1
michelle 1
mother 1
murder 3
murdered 1
murders 1
naisbitt 8
not 3
occasion 2
occasions 1
of 15
ogden 2
on 6
one 1
only 1
order 1
orren 2
other 2
outside 1
particularly 1
people 1
perpetrators 1
physical 1
pierre 5
pioneering 1
progress 1
psychological 1
raped 1
rather 1
recovery 1
retells 1
return 1
returned 1
robbery 4
roberts 3
selby 1
separate 1
shop 8
shot 1
side 2
similarly 1
sometime 1
son 1
south 1
speak 1
stanley 4
states 1
stationed 1
stereo 1
struggled 1
survived 1
surviving 2
taken 1
than 1
that 1
the 33
them 1
this 1
three 3
time 2
to 5
took 1
true 1
two 2
united 1
utah 1
victim 5
victims 4
viewed 1
violent 1
waited 1
walker 6
was 6
went 1
were 5
when 1
while 1
who 3
william 1
with 5
work 1
working 1
