7006540
/m/0g_z79
/m/0g_z79
Hilari Bell
2006
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 10
ability 1
accepts 2
accompany 1
accompanying 1
accomplished 1
addition 1
after 2
ago 1
agreed 1
aid 1
allied 1
an 1
and 15
annoyance 1
are 1
army 1
arrive 1
arrived 1
arrives 1
arriving 1
as 3
assignment 1
at 2
attempt 1
attempting 1
bandits 4
barrels 1
be 4
becomes 1
before 2
begin 1
believe 1
believes 1
betray 1
blade 1
breaks 1
burns 1
but 3
campaign 1
capture 1
captured 3
challenge 2
champion 1
charge 1
chooses 1
circumvent 1
close 1
committee 2
conquer 2
conquest 4
control 1
convinced 1
convinces 1
council 1
councilherd 1
country 1
crippling 1
cure 1
decide 1
decides 2
declares 1
defeat 1
delegates 1
delegation 2
demonstrate 1
develop 1
did 1
difficult 1
disappointed 1
discovered 1
disguises 1
distrust 1
do 1
does 3
dugaz 1
during 1
eager 1
effort 1
elected 1
empire 1
enemies 1
enter 1
exchange 1
failed 1
farsala 7
farsalan 2
farsalans 1
fasal 3
father 3
fever 1
few 1
fight 1
finally 1
find 1
for 4
free 1
from 1
garren 13
get 1
go 1
gold 5
guise 1
happen 2
harbor 1
has 3
have 3
he 7
help 1
her 1
hire 1
his 5
however 2
hrum 6
hrums 1
if 4
impeding 1
in 8
infiltrates 1
informed 1
informs 1
into 3
invited 1
is 10
it 4
its 1
jiaan 9
just 1
kadesh 1
kadeshi 3
kavi 13
kill 1
killed 2
lair 1
leader 1
learn 1
leave 1
letting 1
lightning 1
limit 1
live 1
luckily 1
magic 1
make 1
member 1
metal 1
missing 1
months 1
more 1
much 1
mule 1
nearby 1
newlydeveloped 1
next 1
not 6
of 10
on 2
only 2
order 2
orders 2
outraged 1
palace 2
passwords 1
pay 1
people 1
plaguing 1
promise 1
publicly 1
reaches 1
release 1
remain 1
remaining 1
requisitions 1
resign 1
review 1
riding 1
rioting 1
river 1
rob 2
robbed 1
run 1
saddle 1
sanction 1
secret 1
secure 1
selfimposed 1
senate 7
send 1
sends 1
sent 1
setesafon 1
shall 1
shir 2
slain 1
smoothly 1
son 1
sorahb 1
soraya 10
speak 1
state 1
stated 2
stay 1
stolen 1
strategus 1
subdued 1
supervision 1
suud 2
swamp 1
ten 1
than 1
that 11
the 55
their 2
them 3
these 1
they 4
things 2
think 1
this 4
thousand 1
three 2
to 28
together 2
tortured 1
trap 1
troop 1
troops 2
try 1
two 1
uncover 1
uncovered 1
under 3
upon 1
uses 1
using 1
vault 1
visits 1
warlord 2
watersteel 2
week 1
when 1
which 2
while 1
will 7
wish 1
with 6
withstands 1
words 1
work 2
would 1
youths 1
