28952123
/m/0dgntn1
/m/0dgntn1
John Creasey
1958
a 2
accomplice 1
alan 2
an 1
and 5
are 3
arriving 1
at 1
been 2
bidder 1
bidders 2
brandt 1
brother 1
but 1
buy 1
crimes 1
despite 1
discover 2
drawn 1
farm 4
for 2
found 1
friend 1
friends 1
from 1
gillian 2
has 3
his 2
into 1
is 2
it 2
kidnapped 1
kill 1
leave 1
made 1
monty 1
more 1
morne 1
much 1
murdered 1
mystery 1
of 6
offers 1
old 1
on 1
one 1
other 1
persuade 1
prepared 1
presence 1
refuses 1
richard 1
rival 1
rollison 2
secret 1
seemingly 1
selby 4
sister 1
sitting 1
some 1
suspected 1
tenant 1
tex 1
than 1
that 2
the 9
they 1
to 5
toff 2
tries 1
when 1
who 1
why 1
william 1
with 1
worth 1
