41525
/m/0bdh4
/m/0bdh4
Peter Shaffer

a 8
action 1
adores 1
again 1
aid 1
all 4
allows 1
ally 1
also 1
always 1
amadeus 1
an 1
and 10
any 1
appreciate 1
are 1
aristocracy 1
aristocratic 1
around 1
arsenic 1
as 2
assassinate 1
assumes 1
at 5
attempt 1
attempting 1
attempts 1
audience 1
back 2
be 2
been 1
behaviour 1
believe 1
bestowed 1
boorish 1
bride 1
brilliant 1
but 1
by 3
cannot 2
catch 1
catholic 1
century 1
chance 1
changes 1
character 1
charm 1
choose 1
comes 1
common 1
compositions 5
confession 2
constanze 1
continue 1
convinced 1
court 1
crawling 1
creator 1
credit 1
deeply 1
destroy 2
details 1
devout 1
direct 1
directly 1
disappointed 1
disbelieved 1
do 1
does 2
doing 1
during 1
eighteenth 1
either 1
emperor 2
ends 1
engaging 1
everything 1
explain 1
extensively 1
face 1
false 1
fame 1
finally 1
find 1
first 1
flashes 1
following 1
for 3
frustrated 1
future 1
genius 2
getting 1
gift 1
god 3
grace 1
hands 1
happy 1
has 5
have 1
having 2
he 7
heard 1
him 5
himself 2
his 14
however 2
humiliates 1
in 7
inability 1
including 1
increasingly 1
indeed 1
inexplicably 1
intervened 1
intervention 1
interventions 1
is 10
it 2
knees 1
last 1
leaving 2
life 1
long 1
major 1
man 1
masquerades 1
match 1
may 1
mediocrity 1
meet 1
meets 1
met 1
more 1
mozart 19
much 1
murdered 1
music 1
not 2
occasion 1
of 10
old 1
on 2
once 1
one 1
only 1
opening 1
opposes 1
or 2
original 1
outlived 1
over 2
own 1
person 2
personality 1
play 3
played 1
plot 1
poison 1
power 1
profane 1
promises 1
public 1
reconcile 1
remembered 1
renounces 1
repeated 1
reputation 1
rest 1
revised 1
revisions 1
run 1
salieri 12
salon 1
shaffer 1
she 1
sight 1
since 1
smears 1
some 1
speaking 1
success 1
such 1
suicide 1
survives 1
take 1
tale 1
talk 1
than 1
that 4
the 19
theme 1
then 2
thrilled 1
throughout 1
time 1
to 19
too 1
upon 1
used 1
utmost 1
vows 1
wallow 1
was 1
way 1
weber 1
when 5
which 3
while 1
who 2
wife 1
will 1
win 1
with 6
would 1
