915152
/m/03pjgp
/m/03pjgp
William Faulkner
1939
a 5
abortion 1
and 6
are 1
away 1
baby 1
being 1
between 1
birth 1
both 1
by 1
chapters 1
charlotte 2
convict 1
country 1
downstream 1
each 1
eventually 1
experience 1
fall 1
five 1
flood 1
flooding 1
for 1
forbidden 1
forced 1
gets 1
gives 1
he 1
help 1
henry 2
her 1
himself 2
in 2
interplay 1
is 2
kills 1
long 1
love 1
man 1
meet 1
mississippi 1
narrative 1
of 3
offer 1
old 1
on 1
palms 1
performs 1
plots 1
pregnant 1
prison 1
rescues 1
returning 1
safety 1
she 1
significant 1
story 3
swept 1
tells 1
the 7
then 1
they 2
to 4
together 1
tragedy 1
travel 1
turns 1
ultimately 1
victims 1
when 1
while 1
who 2
wild 1
woman 2
work 1
