2249628
/m/06z4_d
/m/06z4_d
Yann Martel
1996-04
a 9
after 1
again 1
alike 1
and 7
apartment 1
as 4
at 2
back 1
begins 2
being 1
birthday 1
body 1
but 1
by 2
childhood 1
concludes 1
conclusion 1
continuing 1
death 1
early 1
eighteenth 1
events 2
eventually 2
explain 1
explains 1
family 1
female 1
females 1
few 2
fictional 1
final 1
finally 1
first 1
from 2
gets 2
goes 1
graduates 1
graduating 1
he 3
her 7
his 4
in 5
including 1
is 2
job 2
keeps 1
life 1
living 1
love 1
male 2
males 1
meets 1
montreal 1
moves 1
name 1
narrator 2
nearing 1
neighbour 1
novel 1
on 2
ontario 1
ottawa 1
parents 1
places 1
portugal 1
private 1
published 1
raped 1
reverts 1
roetown 1
romances 1
school 1
secluded 1
select 1
settle 1
shares 1
she 6
spain 1
such 1
suddenly 1
surprisingly 1
thailand 1
the 4
tito 1
to 6
transformation 1
travel 1
traveling 1
travels 1
trip 1
unfazed 1
university 1
until 1
up 1
various 1
vicious 1
visiting 1
waitress 1
wakes 1
where 2
while 1
who 1
with 2
write 1
writing 1
years 1
