33974772
/m/0hnby95
/m/0hnby95
Andrew Miller

{"/m/0dq0q": "Prose"}
17 1
a 4
alice 1
and 3
another 1
around 1
birthday 1
cancer 1
centres 1
coming 1
different 1
fact 1
family 1
fernando 1
her 1
hungarian 1
hungary 1
in 2
latestage 1
likely 1
lszl 1
lzr 1
markedly 1
mother 1
named 1
not 1
on 1
one 1
other 1
patient 1
playwright 1
plot 1
revolves 1
san 1
see 1
seemingly 1
set 1
soap 1
sons 2
star 1
story 1
terms 1
that 1
the 6
their 1
to 1
translator 1
troubles 1
two 1
unconnected 1
valley 1
will 1
with 1
