13755144
/m/03ch808
/m/03ch808
Robert Swindells
1993
150 1
2 1
5 1
6 1
a 25
about 1
abused 1
abusive 1
accident 1
act 2
advertises 1
after 9
again 2
against 1
allowing 1
alone 2
although 1
always 1
an 6
and 23
angering 1
another 2
any 1
anywhere 1
argument 2
army 1
arriving 1
as 1
ask 1
at 3
attempted 1
away 2
back 1
bag 1
banknotes 1
be 1
became 1
because 1
become 1
bedsit 2
before 1
began 1
begging 1
being 2
believes 2
bestlooking 1
bodies 1
boy 4
boyfriend 1
bullied 1
but 5
buying 1
by 4
cannot 1
carole 2
cat 2
caught 1
change 3
children 1
chooses 2
clean 1
closeknit 1
clothes 1
cold 1
come 1
commenting 1
community 1
cost 1
costs 1
create 1
dad 1
dangers 1
deaths 1
decides 3
depressed 1
description 1
despite 1
discharged 2
does 2
doorway 1
dosser 1
down 1
due 3
during 1
eat 1
else 1
ensuing 1
events 2
ever 1
facing 2
fact 1
fails 1
falling 1
family 1
fate 1
favour 1
finding 2
finds 1
flat 3
floor 1
floorboards 1
for 5
forced 1
fortnight 1
fresh 1
friend 1
friends 2
further 1
future 1
gail 6
gcses 1
get 1
getting 1
ginger 8
girl 1
given 2
go 1
gone 1
greatly 1
grounds 1
grows 1
grudge 1
had 2
handful 1
hardships 1
has 4
he 13
health 1
hears 1
hefty 1
her 3
hiding 1
him 5
himself 1
his 18
home 3
homeless 7
hopelessly 1
hoping 1
how 2
however 1
hysterical 1
i 1
id 1
identity 1
if 1
imprisonment 1
in 9
informs 1
instead 1
instinctively 1
interviews 1
into 3
involving 1
is 14
it 1
job 3
just 1
khaki 1
killing 1
killings 1
kills 1
landlord 2
largely 1
laugh 1
laughing 2
leaves 1
leaving 1
left 5
life 1
like 1
link 27
little 1
live 1
local 1
london 5
lose 1
love 2
lure 2
luring 1
lying 1
man 3
manages 2
manner 1
many 1
matching 1
meanwhile 1
meet 2
meets 2
mental 1
mentioned 1
met 1
meticulously 1
mind 1
missing 1
money 1
mother 2
moves 1
mugged 1
murder 1
murders 1
name 1
nature 2
negotiable 1
newsagent 1
nicknamed 1
night 1
not 4
notices 2
nowhere 1
observes 1
of 17
off 2
old 1
on 10
once 2
one 1
only 1
onto 2
out 2
own 1
owning 1
pair 1
pattern 1
people 1
performs 1
persuades 1
plans 1
police 1
priorities 1
process 1
promises 1
real 1
recounts 1
relationship 1
rent 2
replies 1
reporter 1
returning 1
reveals 1
room 2
same 2
savings 1
saying 1
school 1
scruffy 1
searching 1
seeing 1
seen 2
series 1
served 1
sets 1
she 3
shelter 15
shortly 1
shower 1
sister 2
sleep 1
sleeping 1
small 2
smash 1
so 1
some 2
something 2
spare 1
spree 1
spy 1
start 1
starts 2
story 1
streets 6
streetwise 2
struggle 1
subsequently 1
successfully 1
survive 1
taking 1
targeting 1
targets 1
teaches 1
tells 1
tension 1
that 4
the 32
their 3
them 2
there 2
these 1
they 2
this 2
thrown 1
time 1
to 23
top 1
tracked 1
travel 1
tries 1
true 1
twentynine 1
two 1
twothirds 1
uncertain 1
under 1
undercover 1
unemployed 1
unironed 1
unthreatening 1
up 2
upon 2
using 1
usual 1
verbally 1
very 1
veteran 1
victim 1
victims 1
vince 1
walk 1
walking 1
warm 1
was 1
watch 1
weeks 2
well 1
when 1
which 1
while 1
window 1
winter 1
with 13
without 1
work 1
years 1
you 2
young 2
