14481296
/m/03d4wkx
/m/03d4wkx
Katherine Langrish
2005-07-04
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy"}
a 5
abound 1
all 1
also 1
an 1
and 6
arms 1
as 4
at 1
away 1
beach 1
before 1
believable 1
bjorn 1
book 1
by 1
carries 1
carve 1
child 2
cope 1
create 1
cursed 1
deserted 1
die 1
doomed 1
evening 1
family 1
fantasy 1
feelings 1
fell 1
first 1
fisherman 1
fishing 1
folklore 1
for 2
friend 2
from 2
future 1
granny 1
greenteeth 1
having 1
he 4
her 3
hero 1
herself 1
hilde 2
himself 1
his 3
home 1
horrified 1
husband 1
in 3
into 2
is 2
itself 1
just 1
kersten 2
langrish 1
learn 1
legends 1
lives 1
mentor 1
mill 1
motifs 1
must 1
mysteries 1
mysteriously 1
neighbours 1
newborn 1
night 1
now 2
of 3
old 1
on 1
one 1
or 1
orkney 1
out 1
peer 2
peers 1
people 1
predatory 1
protect 1
pushes 1
returned 1
rumours 1
sea 2
seal 2
sealbaby 1
sees 1
selkies 1
spirit 1
stormy 1
struggles 1
such 1
that 2
the 13
these 1
through 1
throwing 1
to 5
trilogy 1
trip 1
troll 1
try 1
ulffson 1
understand 1
unusual 1
uses 1
variety 1
village 1
vulnerable 1
was 1
water 1
weather 1
when 1
wife 1
windy 1
with 2
woman 1
working 1
young 1
