11130936
/m/02r11bg
/m/02r11bg
Scott Westerfeld
2005
a 6
able 1
about 2
adventure 1
again 1
all 2
allow 1
allows 1
always 1
an 2
and 10
are 1
awake 1
be 4
because 1
become 1
becoming 1
before 1
begin 1
beth 3
blue 5
book 1
both 1
boyfriend 1
by 1
cannot 1
comes 1
confined 1
control 1
creatures 2
curious 1
dangerous 1
darkling 1
darklings 1
daughter 1
day 3
daylight 1
dayunless 1
disappearance 1
dismay 1
during 2
each 1
earth 1
emotional 1
every 1
expand 1
expanding 1
experience 1
fabric 1
feast 1
finally 1
find 2
five 1
flight 1
for 3
forever 1
freezes 1
frequently 1
from 2
gets 1
goodbye 1
grieving 1
halfhour 1
halloween 1
happening 1
has 2
have 1
her 3
his 1
hour 7
hours 1
humans 1
in 6
into 3
is 5
it 2
its 1
itself 1
jess 1
jessica 5
jonathan 4
keep 2
last 4
like 1
little 1
live 1
longer 1
loss 1
madeline 1
make 1
making 1
manage 1
matters 1
may 1
middle 1
midnight 2
midnighter 1
midnighters 4
moment 1
more 3
night 1
no 1
nonmidnighters 1
of 7
on 2
once 1
only 1
other 2
out 2
parents 1
people 1
pep 1
problem 1
rally 1
real 1
resources 1
rex 1
rip 1
sad 1
samhain 1
say 1
school 1
seam 1
secret 6
share 1
she 1
side 1
sister 1
sisters 1
slip 1
slowly 1
some 1
spare 1
spreading 1
still 1
stop 2
stronger 1
sucked 2
takes 1
teams 1
teens 1
that 2
the 29
their 2
there 1
these 1
this 2
through 1
tiff 1
time 8
to 15
trapped 1
trilogy 1
trouble 1
true 2
trying 2
unfortunately 1
up 1
upon 1
using 1
usually 1
very 1
visit 1
way 2
when 3
which 1
while 1
whole 3
will 6
with 3
within 1
world 2
worse 1
zones 1
