2803688
/m/083qtr
/m/083qtr
Edward Bunker
1981-01
{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery", "/m/0c3351": "Suspense"}
11 1
13 2
143 1
17 1
a 21
able 1
about 3
absence 1
accident 1
act 1
actually 1
addict 1
addicts 1
affection 1
after 1
again 2
age 1
ala 1
alex 30
all 1
almost 1
also 3
altabella 1
an 5
and 32
angeles 1
anger 1
another 1
anything 1
apart 1
are 3
as 12
at 7
attack 3
attacks 2
attempt 1
attempts 1
aunt 1
authorities 3
away 5
back 3
barzo 1
be 5
beat 1
beats 1
because 3
become 1
been 1
before 2
begin 3
believe 1
black 1
both 2
box 1
boy 2
boyfriend 1
boys 3
broke 1
brought 1
brutal 1
burglarize 1
bursts 1
but 4
by 3
cafe 1
california 1
called 1
camarillo 2
can 3
car 1
carpenter 1
caught 2
cause 1
causes 1
cavendish 1
choice 1
city 1
clem 3
close 1
colony 1
commit 2
confinement 1
conflicts 1
cons 1
crazy 1
credited 1
criminal 1
custody 1
dare 1
day 2
decide 1
decides 5
deemed 1
defense 1
delinquents 1
depression 1
determine 1
did 1
died 1
displaying 1
does 3
dress 1
drifting 1
drug 1
drugs 1
drugstores 1
during 1
each 1
early 1
ends 1
enrolling 1
escape 2
even 2
event 1
eventually 3
ever 1
exhibits 1
exterior 1
eyes 1
face 1
family 1
father 4
feelings 1
fellow 1
fernando 1
fight 1
fights 2
finally 1
find 3
finds 3
fire 1
first 2
floyd 1
for 5
foster 1
found 1
friend 1
from 8
get 1
gets 9
girls 1
gives 1
go 1
goes 1
going 2
great 3
habit 1
had 1
hall 2
hammond 2
has 3
have 3
having 1
he 35
helps 1
her 4
here 1
heroin 2
hide 1
high 1
him 20
his 15
hit 2
hold 1
home 1
homes 1
hose 1
hospitable 1
hospital 1
hotwire 1
housemother 1
how 4
however 4
humiliate 1
hurts 1
husband 1
identity 1
if 1
in 16
indignance 1
infraction 1
injustices 1
inmate 1
inmates 1
insane 1
inside 1
instances 1
institution 6
institutions 2
intelligence 1
intervention 1
into 9
investigate 1
is 17
it 4
italianamericans 1
jabber 3
job 1
joe 1
jojo 3
jojos 1
juvenile 4
kennedy 1
kill 1
killing 1
la 1
latter 1
learns 2
leave 1
lengthy 1
like 1
lisa 1
literary 1
live 1
living 1
long 1
los 1
lot 1
love 1
masturbate 1
meets 5
members 1
mental 1
military 1
minor 1
money 1
more 2
most 1
must 1
named 1
new 1
nicknamed 1
night 3
no 1
not 7
novel 2
nozzle 1
of 20
old 2
older 3
one 10
or 1
order 1
other 5
out 7
outside 1
over 1
owners 2
pacific 1
parents 1
peace 1
pistol 1
places 1
placid 1
placing 1
play 1
point 1
poker 1
police 2
prefers 1
preston 2
primarily 1
prior 1
prison 3
protect 1
psychopathy 1
punish 1
punk 1
put 1
quentin 1
quickly 1
quite 1
racial 1
racism 1
rage 1
read 1
reading 1
recalling 1
red 1
regard 1
regards 1
regularly 1
relatives 1
released 1
reprise 1
resources 1
rest 1
result 1
rips 1
rob 2
robbery 1
roommates 1
run 2
runs 2
sammy 2
san 2
scabs 2
school 1
seems 1
sees 1
self 1
selling 1
send 2
sent 3
separate 1
separated 1
serves 1
sets 1
sexual 1
shattered 1
shoes 1
shoot 1
shoots 1
shop 1
shoplift 1
shotgun 1
since 1
sister 2
sneak 1
so 4
social 1
sodomized 1
solitary 1
soon 2
specifically 1
staff 1
starts 3
state 2
stay 1
steal 1
store 2
story 1
stricter 1
struggling 1
successfully 1
such 3
superficially 1
support 2
supporting 1
surrounded 1
system 1
taken 1
taking 1
tantrums 1
teach 1
teaches 1
teen 2
temper 1
teresa 1
teresas 1
than 1
that 8
the 43
their 2
thelma 1
them 5
there 3
these 1
they 10
this 5
though 1
threatening 1
threatens 1
time 3
to 44
too 1
towards 1
tragic 1
traits 1
trouble 2
trying 1
two 3
typical 1
uncle 1
unconsciousness 1
unfair 1
unjustly 1
unrepentant 1
unscrews 1
up 2
upon 1
us 1
usefulness 1
valley 2
various 2
versatility 1
very 2
violence 3
walked 1
want 1
wants 1
way 1
wedo 3
well 2
what 1
when 1
where 2
whether 1
while 1
whittier 2
who 2
whom 1
will 1
with 11
words 1
worker 1
working 1
worse 1
would 1
year 2
young 1
younger 1
youths 1
