8733182
/m/027gqp8
/m/027gqp8
Vonda McIntyre
1981-06
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 23
about 1
accelerate 1
acceleration 1
accompanies 1
accomplish 1
act 1
activates 1
aerfen 1
afoot 1
after 2
afterward 1
again 2
against 2
aleph 4
alerts 1
all 4
alone 1
already 1
alreadyfragile 1
also 2
alternate 1
an 4
and 21
anomalies 1
any 2
apparently 1
appear 1
appears 1
are 2
arrange 1
arrival 1
as 12
ascertains 1
assignment 1
asunder 1
at 4
attempt 1
attempted 1
attempts 1
attention 1
auxiliary 1
back 6
be 7
because 1
becoming 1
been 5
before 6
began 1
beginning 1
begins 1
begun 1
behind 1
being 3
beings 1
better 1
black 1
blamed 1
body 2
both 1
braindead 1
braithewaite 5
braithwaite 1
bridge 1
brings 1
bullet 1
but 5
by 10
capable 1
captain 2
case 2
cause 3
caused 1
ceases 1
certain 1
charges 1
chief 1
choice 1
citing 1
citizen 1
clear 1
clearly 1
collapse 1
colloquially 1
colony 2
commander 1
commands 1
committed 1
compelled 1
complete 1
computer 2
computers 2
confined 1
confronts 1
consequences 1
console 1
conspiracy 1
contain 1
continue 1
continuous 1
convicted 1
convinced 1
convinces 1
could 1
course 1
crime 1
criminal 2
cycle 1
damage 3
dangerous 1
deadly 1
death 1
decades 1
decided 1
decides 1
deduce 1
defended 1
destroy 2
determines 1
developed 1
device 3
did 1
die 1
dies 1
disbelieves 1
discover 1
discovers 2
disguise 1
disheveled 1
disintegrates 1
divert 2
doctor 1
done 1
dr 2
drain 1
drugged 1
due 1
during 1
earlier 3
ecosystems 1
effect 2
effort 1
efforts 1
eight 1
en 1
encounters 1
end 1
ends 1
endurance 1
engaged 1
enough 1
enterprise 6
enterprises 1
entropy 3
eroding 1
event 1
events 1
evidence 2
exacerbated 1
exist 2
expert 1
explaining 1
explanation 1
extremely 1
fabric 1
face 1
fact 2
facts 1
failed 1
falters 1
familiar 1
farther 2
federation 2
feeling 1
ferry 1
fibers 1
field 1
fighter 1
find 1
first 2
flynn 3
follow 1
for 6
forces 1
form 1
forming 1
found 1
friend 1
friends 2
from 8
further 1
future 1
generally 1
georges 1
give 1
go 3
granted 1
graze 1
gun 1
had 6
haggard 1
halt 1
happen 1
has 6
have 2
having 1
hawking 1
he 20
healed 1
hed 2
high 1
hikaru 1
him 5
himself 2
his 15
hole 1
horizon 1
however 2
hunter 2
identified 1
idol 1
if 1
in 20
incarcerated 1
incomplete 1
increase 2
inexorable 1
infected 1
inflicted 1
information 1
informs 1
inherent 1
insights 1
installed 1
interrogate 1
interruption 1
into 1
is 20
it 10
its 4
itself 1
join 1
journey 1
jumps 1
just 2
kind 1
kirk 11
later 2
lawyer 1
lead 1
leaving 2
less 1
library 1
life 1
like 1
limits 1
longer 1
lost 1
lover 1
lt 1
made 1
maintaining 1
making 1
managed 1
manages 1
manifestations 1
many 1
may 1
mccoy 2
meanwhile 1
meets 1
memories 1
mention 1
merely 2
message 2
met 1
metalloorganic 1
might 2
mindmelded 1
mining 1
mischief 1
mistake 1
modifies 1
mordeaux 1
mordreaux 13
mordreauxs 1
more 1
much 1
murder 1
murdered 1
nagging 1
naked 3
namely 1
nearby 1
needed 1
needless 1
nerve 1
neurophilic 1
never 1
new 1
no 1
not 4
nova 1
novel 1
now 1
observation 2
observations 2
obtain 1
odd 2
of 34
officer 1
oldfashioned 1
on 7
one 3
online 1
only 6
or 2
original 2
other 1
out 3
outbursts 1
owing 1
partly 1
paths 1
period 1
persecution 1
persuade 2
phenomenon 1
physical 1
physicist 3
piderweb 1
places 1
planet 1
plans 1
power 1
precarious 1
present 2
primarily 1
prime 3
prior 1
priority 2
problem 1
process 1
promotion 1
prosecutor 1
protected 1
pulling 1
purpose 1
pushed 1
put 1
quarters 1
rare 1
rather 1
realised 2
reality 4
realization 1
reason 1
records 2
regain 1
rehabilitation 2
remove 1
required 1
research 3
researching 1
restored 1
result 1
results 1
returned 1
returns 1
reveal 1
revenge 1
route 1
ruins 1
rushed 1
same 3
sanity 2
save 2
say 1
scientific 2
scientist 1
scientists 1
scotty 3
security 2
see 1
seeing 1
seeks 1
seems 2
seen 1
sees 1
selfaware 1
selfdestruction 1
sends 1
sentenced 1
seven 1
she 1
ship 1
shoots 1
shortly 1
sickbay 1
simply 1
since 1
single 1
singularity 6
slugs 1
slugthrowing 1
so 1
some 4
sorts 1
spock 22
starfleet 2
stars 1
starts 1
status 1
still 1
stop 1
strain 1
strangles 1
stresses 1
struggles 2
study 1
substance 1
successfully 1
succumbs 1
such 2
sudden 1
suddenly 1
sulu 3
support 1
system 2
systems 1
take 1
tendency 1
termed 1
terminate 1
terrorism 1
than 2
that 19
the 88
their 1
them 1
then 1
theoretical 1
theorised 1
theory 1
these 1
they 1
theyve 1
things 1
thinks 1
this 6
those 1
though 2
through 1
thus 2
thwarted 1
time 13
timechanger 1
timeline 6
timelines 1
to 58
together 1
too 1
top 2
torn 1
trace 1
transfer 2
transporter 3
travel 5
travels 1
tries 2
trip 1
trips 1
try 1
turns 1
two 3
ultimately 1
unable 1
unaffected 1
undo 1
unethical 1
uniform 1
unit 1
universe 2
unknown 1
unprecedented 1
unpredictable 1
unspecified 1
unstable 1
up 1
upon 1
used 1
using 1
various 1
version 2
versions 2
very 1
vicinity 1
violence 1
virus 3
was 7
waste 1
way 1
weeks 1
well 1
when 2
where 2
which 5
while 3
who 4
why 1
will 1
wish 1
with 5
within 1
work 1
working 2
would 4
written 1
years 1
yield 1
younger 3
