22158874
/m/05q4hth
/m/05q4hth
Muriel Spark
1976

a 3
american 1
an 2
and 4
are 1
as 2
assets 1
be 1
believes 1
both 1
burglary 1
by 4
caligula 1
cause 1
cezanne 1
children 1
consider 1
conspire 1
daughterinlaw 1
descendant 1
diana 1
doctor 1
easily 1
eccentric 1
embezzlement 1
emperor 1
entire 1
estate 1
events 1
evicted 1
friend 1
from 1
glamorous 1
her 2
himself 1
his 2
house 1
housesitter 1
however 2
hubert 3
important 1
in 2
including 1
intransigence 1
is 6
italian 1
lake 1
large 1
leased 1
liaison 1
liquidation 1
loss 1
maggie 4
mallindaine 1
mirrored 1
much 1
mythical 1
nemi 1
not 1
now 1
occupied 2
of 7
offspring 1
once 1
one 1
outright 1
overlooking 1
owned 1
possible 1
quickly 1
radcliffe 2
removed 1
review 1
second 1
she 1
so 1
son 1
the 8
they 1
third 1
three 1
to 4
trusted 1
two 1
unwelcome 1
villas 1
wants 1
wealth 1
wealthy 1
what 1
who 1
whom 1
with 1
