1860626
/m/061tlb
/m/061tlb
Louis Cha
1961
{"/m/08322": "Wuxia", "/m/05hgj": "Novel"}
2005 1
a 17
abbess 1
about 1
according 1
actually 1
address 1
adventures 2
after 7
against 2
allow 1
also 1
ambiguous 1
an 2
and 22
anyone 1
apparently 1
appear 1
archrival 1
are 4
around 1
artists 2
as 5
at 3
away 1
become 2
becomes 3
becoming 1
beginning 1
believes 1
betray 1
between 1
bond 1
born 1
both 1
bound 1
boy 1
but 2
by 5
can 1
central 1
challenge 1
childhood 1
chinese 2
circulating 1
clan 1
commands 1
community 1
complex 1
conflict 1
cornered 1
could 1
cousin 1
covet 1
coveting 1
cuishan 1
cult 10
dares 1
death 1
decides 2
described 1
destined 1
destroying 1
develops 1
devises 1
different 1
discover 1
disfigured 1
disillusioned 1
disobey 1
distrusts 1
does 1
dragon 3
dynasty 4
eagle 1
earlier 1
earns 1
earth 1
edition 3
either 1
elders 1
emperor 1
encounters 1
end 1
ending 2
energy 1
entangled 1
even 1
eventually 1
exploiting 1
extremely 1
falls 2
fan 1
far 1
father 1
figure 1
finds 1
first 1
for 4
forces 1
former 1
formidable 1
founds 1
four 1
fourth 1
friend 1
from 6
front 1
further 1
gave 1
general 1
girl 2
godfather 1
gradually 1
great 1
hails 1
han 1
hands 1
has 2
hates 1
he 14
heaven 3
heavenly 1
help 1
helps 1
her 3
heritage 1
him 6
himself 1
his 11
honoured 1
horribly 1
however 2
hu 1
ideally 1
if 1
improve 1
in 11
initially 1
inner 1
inside 1
instead 1
intent 1
is 15
island 1
isolated 1
it 3
its 2
jianghu 2
jin 1
key 1
killed 1
known 1
late 1
later 1
lead 2
leader 1
leadership 1
leading 1
leave 1
left 2
li 2
life 2
liner 1
lives 1
long 1
loses 1
lost 2
love 5
made 1
maidens 1
mainland 1
major 1
mantra 1
manual 1
many 1
marry 1
martial 2
master 2
mastering 1
masters 1
maternal 1
medical 1
members 2
middle 1
miejue 2
min 5
ming 7
mistakenly 1
mixed 1
mongol 1
mother 1
mount 1
new 1
nine 1
northern 1
not 2
novel 2
oath 1
of 14
on 5
opportunity 1
opposing 1
or 1
orthodox 1
other 1
overthrew 1
overthrow 1
pair 1
parents 1
persia 1
persian 2
physician 1
plains 1
plotting 1
powerful 1
precious 1
priceless 1
princess 1
promise 1
protagonist 1
published 1
pugilist 1
pugilists 1
qingniu 1
reason 1
rebel 1
reclusive 1
reforms 1
related 1
relations 1
relationship 1
relationships 1
reliant 2
reneges 1
repeated 1
reputable 1
resolves 1
respect 1
retire 1
returns 2
revealed 1
revolves 1
rival 1
rule 1
rumour 1
saber 3
same 1
sanfeng 1
save 1
scheme 1
second 2
sect 1
sects 2
seeking 1
seize 1
servant 1
set 1
several 1
she 5
shift 1
sides 1
six 1
skill 1
skills 1
slaying 2
slays 1
slightly 1
society 1
soon 1
sovereign 1
story 3
strong 1
survives 1
susu 1
swears 1
sword 1
takes 1
teacher 1
that 5
the 62
their 2
them 2
then 1
they 3
third 2
this 1
thought 1
throne 1
throughout 1
time 1
to 19
treatment 1
true 1
turn 1
turns 2
two 1
under 1
understands 1
unorthodox 1
up 1
various 1
vengeance 1
versions 1
very 1
vicious 2
was 2
weapons 2
web 1
well 1
were 1
when 1
where 1
which 2
while 2
who 6
whom 1
widely 1
wielder 1
with 9
world 1
would 1
wounded 1
wudang 2
wuji 11
wulin 2
xiao 1
xiaozhao 2
xie 1
xuanming 1
xun 1
yang 2
yao 1
yin 3
yong 1
yuan 3
yuanzhang 1
zhang 14
zhao 5
zhiruo 5
zhou 6
zhu 1
