1500111
/m/0566m7
/m/0566m7
Audre Lorde
1982
{"/m/017fp": "Biography"}
15 1
a 16
abortion 1
afrekete 1
after 3
age 1
also 1
an 1
and 7
another 1
are 1
arts 1
as 2
at 5
atrocious 1
audre 4
away 1
back 1
bar 1
bea 1
because 1
before 1
begins 1
black 2
blind 1
book 1
boy 1
branded 2
breaking 1
called 1
catholic 1
child 3
college 2
conditions 1
connecticut 1
cuernavaca 1
dc 1
death 1
decides 3
editor 1
elected 1
ends 3
eudora 1
eve 1
even 1
explores 1
factory 1
family 1
father 1
finally 1
find 1
first 1
flat 2
following 1
for 1
friends 2
from 1
get 1
getting 1
girls 1
goes 2
going 1
graduation 1
grows 1
hangs 1
harlem 1
has 2
having 1
heart 1
her 5
high 1
himself 1
his 1
homage 1
home 1
hospital 1
hunter 2
icecream 1
in 9
independent 1
indian 1
is 2
jean 1
jilts 1
landlord 1
later 1
laws 1
learns 1
leave 1
leaves 1
leaving 1
legally 1
lesbian 2
lesbians 1
library 1
literary 1
lorde 1
lot 1
lover 1
lynn 1
magazine 1
makes 1
mccarthyism 1
meets 1
mexico 1
mostly 1
mother 2
move 1
moves 3
muriel 1
named 1
new 1
nonblack 1
number 1
nunsteachers 1
nyc 2
of 8
on 3
one 2
out 1
parents 1
people 1
period 1
peter 1
poetry 1
pregnant 1
prove 1
read 1
refused 1
relationship 3
rent 1
returns 1
same 1
savings 1
scene 1
school 4
secretary 1
segregation 1
shares 1
she 14
small 1
some 1
stamford 1
started 1
starts 1
stoking 1
take 1
tend 1
the 9
their 1
them 2
then 1
there 1
they 2
thus 1
time 1
times 1
to 16
trip 1
unhappy 1
university 1
up 4
warning 1
washington 1
west 1
when 1
where 2
white 1
who 2
whose 1
with 9
without 1
women 1
work 1
working 1
works 2
wrath 1
writing 1
year 1
