287638
/m/01q6yf
/m/01q6yf
Ellen Glasgow
1913
{"/m/05hgj": "Novel"}
1864 1
a 24
able 2
about 2
abroad 1
absolutely 1
accepts 1
accompanies 1
acting 1
actress 1
african 2
after 2
again 1
age 1
aged 1
all 3
alone 2
also 1
altruistic 1
ambitions 1
american 2
an 6
and 26
angry 1
another 1
anything 1
appearance 1
are 5
arrived 1
as 4
asking 1
asks 1
aspiring 1
at 4
audience 1
avoided 1
back 2
bank 1
bare 1
be 5
becomes 1
been 3
before 1
believe 1
belle 1
betraying 1
bigger 1
biggest 1
black 1
blow 1
born 1
boy 1
broadway 1
brought 1
but 2
butler 1
by 3
call 1
capitalist 1
care 1
chance 1
childhood 1
children 6
christmas 1
clergyman 1
clinging 1
clothes 1
college 1
come 2
comfortable 1
complete 1
completed 1
concession 1
condition 1
console 1
could 1
couple 1
courage 1
course 1
creeping 1
crosses 1
daughter 2
day 1
days 1
deathhe 1
denied 1
depression 1
dies 1
dinwiddie 4
dismay 1
disturb 1
divorce 1
do 1
does 1
dreamer 1
drunken 1
during 1
dutiful 1
duty 1
eager 1
education 2
either 1
employ 1
empty 2
endless 1
ends 1
entertained 1
entrepreneurs 1
especially 1
eventually 1
existence 1
expectations 1
failure 1
falls 2
family 3
famous 1
far 1
fate 1
father 1
few 1
finds 1
first 5
flop 1
flown 1
follow 1
for 11
frequently 1
from 2
get 2
girls 1
gloom 1
god 1
going 1
gonetheir 1
gradually 1
grownup 1
grows 1
handsome 1
happy 2
has 13
have 1
having 1
he 7
her 35
herself 2
high 1
him 4
his 10
home 1
honourable 1
house 3
household 1
housework 1
however 3
husband 3
husbandonly 1
if 1
immediately 1
important 1
in 23
including 1
increasingly 1
industry 1
innocent 1
intellectual 2
into 2
is 15
keeps 1
known 1
last 1
leads 1
leave 1
leaves 1
left 1
let 1
letter 1
life 7
lifeher 1
limited 1
literary 1
little 1
live 1
living 1
local 1
look 1
loses 1
losing 1
love 1
lynching 1
makes 2
man 1
manadds 1
many 2
marriageshe 1
married 2
meanwhile 1
midforties 1
might 1
minimum 1
money 3
months 1
more 3
mother 3
move 1
much 1
must 1
neglecting 1
nestand 1
new 5
newspaper 1
night 1
no 2
note 1
novel 1
now 2
number 1
of 12
offer 2
older 1
oliver 8
on 3
one 4
onepremires 1
only 3
optimistic 1
or 1
order 1
other 1
out 1
outlived 1
outward 1
own 2
oxford 1
patholiver 1
pays 1
perfect 1
perfecting 1
persuades 1
play 2
playa 1
plays 2
playwright 1
point 1
pouring 1
prematurely 1
premire 1
premonition 1
prepared 1
prevent 1
process 1
provide 1
public 1
put 1
quick 1
quickly 1
quiet 1
quite 1
radical 1
railroad 2
rather 1
reading 1
realizes 3
receives 1
recently 1
reconstruction 1
recovered 1
reformed 1
refuses 2
rejected 1
seem 1
sees 1
servants 2
severe 1
she 16
sheep 1
shock 1
show 1
similar 1
since 1
skills 1
society 1
some 1
somewhat 1
son 2
south 1
southern 1
spends 1
stabbed 1
stage 1
staging 1
stars 1
starts 2
state 1
stay 1
still 1
strictly 1
subservience 1
successful 1
succession 1
sudden 1
suddenly 1
summoning 1
supervise 1
support 1
sure 1
take 1
takes 2
talking 1
taste 1
taxi 1
telling 1
than 3
that 11
the 40
their 1
them 1
there 1
they 1
thing 1
three 1
throughout 1
thus 1
time 4
to 31
too 1
town 1
train 1
trash 1
trashy 1
treadwell 1
tries 1
two 3
twoyear 1
uncle 2
unexpected 1
university 1
unsuccessfully 1
up 2
usefulness 1
very 1
vicarious 1
vigorously 1
virginia 11
wants 1
way 1
when 11
while 3
who 6
whom 1
widow 1
widower 1
wife 1
will 2
winning 1
with 9
without 1
women 1
words 1
work 2
worthwhile 1
writing 1
years 2
yet 2
york 5
young 5
