1400224
/m/04zkwn
/m/04zkwn
Sidney Sheldon
1988
{"/m/02xlf": "Fiction"}
13 1
14 1
15 1
1601 1
176 2
23rd 1
28 2
30 2
60 1
a 86
abandon 1
abandoned 3
about 10
accept 1
accident 1
accoa 1
accompany 1
account 2
acoca 22
acocas 3
admiration 1
adopted 1
afford 1
after 3
again 1
against 1
age 1
agreeing 1
agrees 1
airplane 1
alan 10
alans 1
all 4
almost 2
along 1
already 3
also 5
although 2
always 1
among 1
amparo 12
amparos 1
an 10
ancient 2
and 110
angry 2
another 2
answered 1
antieta 2
anyway 1
apparently 1
appears 1
are 19
area 1
argument 1
around 3
arrested 3
arresting 1
arzano 2
as 20
ashtray 1
asks 4
assasination 1
asset 1
assigned 1
assignment 1
assigns 1
assisted 1
assumed 1
assumes 1
at 26
attacked 1
attempted 1
attempts 2
attention 1
attracted 2
aunt 1
authorities 2
avila 1
avoid 2
away 6
baby 11
back 6
bad 1
bag 3
bank 4
basque 7
bath 1
be 11
beats 1
beautiful 3
became 2
because 13
become 1
becomes 1
been 7
before 10
begins 5
believes 3
believing 2
bellow 1
benito 2
best 2
betina 3
betrayed 1
betrayers 1
between 1
blackmail 1
bloodshed 1
body 1
bodyguard 3
bond 1
bonding 1
boss 3
both 2
boy 1
boyfriend 1
breakdown 1
bribed 1
bring 2
brings 1
brother 4
brotherinlaw 1
brothers 1
brought 1
brutality 1
bryan 1
bullfight 1
bulls 1
business 4
but 26
by 16
byron 7
byrons 1
call 2
called 3
calls 2
came 2
camp 1
can 4
cancer 1
capture 2
captures 1
care 3
carmine 4
carpio 3
carried 1
carrillo 5
carry 2
carrying 1
caught 4
cave 1
ceo 3
ceremony 1
chagrin 1
chance 1
change 1
character 1
chief 3
child 6
chose 1
church 4
circumstances 1
circus 1
cistercian 2
civil 1
clerk 2
cold 1
colleagues 1
collect 1
colonel 19
come 1
comes 1
comment 1
communicate 1
company 11
companys 1
compared 1
confronts 2
confuse 1
connected 1
connections 1
contact 1
contains 2
continue 2
continues 1
control 2
convent 21
convinced 4
convinces 2
convincing 3
could 4
couldnt 1
country 3
countryside 3
couple 1
crash 1
crashes 1
critics 1
cross 8
crumbled 2
crushed 1
cultural 1
current 2
currently 1
dates 1
daughter 5
day 3
daydreaming 1
dead 1
death 2
debate 1
decide 1
decided 3
decides 5
deciding 2
dedicated 1
defends 1
delivered 1
demonstration 1
depression 1
despite 1
destroyed 1
detective 2
developed 1
did 3
didnt 1
die 2
died 1
dies 3
different 1
dinner 2
director 1
dirty 1
disappointed 1
disappointment 1
discipline 1
discover 2
discovered 1
discovers 1
disguised 2
distracted 1
does 1
doesnt 3
dollars 2
donated 1
done 3
dont 1
door 1
doubts 1
drink 1
drowns 1
during 2
dying 1
each 3
earlysixties 1
eat 1
efforts 1
eight 1
elderly 1
ellen 21
eloped 1
enough 2
escaped 3
escapes 1
escaping 1
eta 3
even 3
everyone 2
everything 2
exasperated 1
exceedingly 1
except 1
excited 1
execution 2
executives 1
exotic 1
explain 1
explained 1
explains 1
exposed 2
exposing 1
expresses 1
eye 1
face 1
fact 1
factories 1
factory 1
failed 1
fake 1
fakes 1
fall 2
falls 1
false 1
family 3
famous 3
farm 2
farmer 3
farmers 2
father 8
fathers 2
feared 1
feels 2
felix 5
fell 1
fellow 1
few 1
fianc 1
fiancee 1
fight 2
fighting 2
figured 1
finally 3
find 6
finds 4
fine 1
finished 1
first 3
flagellate 1
flashbacks 2
flee 2
for 26
forced 2
forces 1
forcing 1
forest 1
former 2
formerly 2
fortune 2
found 6
four 4
france 2
free 2
french 1
friar 2
friend 1
friends 2
from 17
front 1
furious 1
gaining 1
gave 1
genuinely 1
get 6
gets 3
getting 1
girl 3
girlfriend 2
gives 3
giving 1
go 10
goe 2
goes 6
going 8
gold 4
golden 1
gone 1
good 1
gorgeous 1
got 2
graciela 15
gracielas 3
grateful 1
grew 1
group 10
growing 2
grows 1
guilty 1
had 9
haggles 1
happens 1
has 11
have 10
having 4
he 36
head 4
heading 1
hear 1
heartbroken 1
heavily 1
heir 1
her 68
herself 2
hidden 4
hide 6
hiding 3
hills 1
him 30
himself 1
hired 1
hires 1
his 25
holds 1
home 2
hope 1
hospital 2
hospitalized 1
hotel 3
house 1
how 1
however 9
hundreds 1
hurt 1
husband 1
i 1
ideals 1
if 3
immediately 1
impoverished 1
impresses 1
in 48
including 1
income 1
independence 1
industries 4
industry 1
informant 1
information 6
informs 2
inherit 1
initial 1
injuring 1
inquire 1
insane 1
interfered 1
interrogated 1
interrogates 1
interrupted 1
intervene 1
into 3
introduce 1
invaded 1
iron 1
is 61
isnt 2
it 14
italian 2
italy 2
its 1
jaime 37
jaimes 7
jet 1
job 1
jobs 1
join 3
joined 1
judge 2
just 4
keep 2
keeps 1
kidnap 2
kill 3
killed 3
killing 3
kind 1
knew 1
know 3
knowledge 1
known 1
knows 5
language 1
languages 1
later 6
lawyers 1
leader 1
leads 1
learned 1
least 2
leave 8
leaving 4
left 9
let 1
letter 1
life 6
like 2
liked 1
little 2
live 1
local 1
loose 1
lord 1
lost 3
love 6
loved 1
lovely 1
lucia 34
lucias 1
luckily 1
lying 1
mafia 4
main 1
major 1
make 1
makes 2
man 4
managed 1
many 2
married 3
marry 3
means 1
meanwhile 2
meet 3
meeting 2
megan 25
meganpatricia 1
mellado 4
member 2
memories 2
men 15
million 1
millions 1
milo 15
minister 4
minute 1
mir 14
mirs 2
miss 2
missing 2
mock 1
moment 1
monasteries 1
money 8
monique 4
moniques 1
moor 2
more 2
morning 1
most 1
mother 5
mothers 1
motives 1
much 3
murder 1
murderer 3
must 1
my 1
name 2
named 1
nearby 2
needed 1
needs 1
nervous 1
new 5
newspaper 1
next 1
night 1
no 5
nor 1
not 8
nothing 4
noticed 1
now 6
nun 3
nuns 21
observance 1
obvious 2
of 62
off 3
oldest 1
on 10
once 1
one 9
only 10
onlysister 1
open 1
opportunity 1
or 1
order 1
orphan 1
orphanage 4
other 6
others 2
out 20
outside 2
over 4
overcome 1
overhears 1
overshadowed 1
own 1
owner 3
owners 1
owning 1
paid 2
pamplona 2
panics 1
parents 2
part 2
party 1
passport 3
past 1
pasts 1
patricia 11
patricialeaving 1
pawn 2
people 2
perfectly 2
personal 1
phone 1
pills 2
pistol 1
place 1
plain 1
planning 1
pneumonia 1
poisons 1
police 7
posing 1
poverty 1
powder 1
pray 1
prayer 2
pregnant 1
present 2
presumed 1
pretends 1
priest 2
prime 4
prison 4
private 1
promised 1
promises 1
proves 1
psalm 1
public 2
pulls 1
purposely 1
pushed 1
put 1
puts 2
putting 1
quicker 1
radio 1
raid 3
raise 1
ramn 2
ran 1
raoul 5
rape 1
raping 2
rather 1
reached 1
read 1
reader 1
reading 1
reads 1
realizes 2
realizing 1
really 1
reason 1
reasons 1
recognize 1
redeem 1
reflecting 1
refuge 1
reluctance 1
reluctantly 2
replies 1
resenting 1
rest 1
retreat 1
returns 1
reunited 2
revenge 4
reverend 3
ricardo 9
riding 1
right 4
rights 1
rivalry 1
